Price,Close,High,Low,Open,Volume
Ticker,GRCE,GRCE,GRCE,GRCE,GRCE
Date,,,,,
2016-01-04,119.04000091552734,122.4000015258789,113.27999877929688,115.19999694824219,413
2016-01-05,115.68000030517578,120.95999908447266,113.27999877929688,118.55999755859375,85
2016-01-06,107.04000091552734,116.63999938964844,106.08000183105469,114.23999786376953,888
2016-01-07,98.4000015258789,107.04000091552734,96.95999908447266,107.04000091552734,981
2016-01-08,89.76000213623047,96.95999908447266,88.31999969482422,96.95999908447266,821
2016-01-11,83.5199966430664,89.76000213623047,81.12000274658203,89.76000213623047,858
2016-01-12,84.4800033569336,86.4000015258789,84.4800033569336,86.4000015258789,177
2016-01-13,73.91999816894531,86.4000015258789,72.95999908447266,86.4000015258789,402
2016-01-14,80.16000366210938,85.44000244140625,73.44000244140625,74.87999725341797,421
2016-01-15,78.23999786376953,81.5999984741211,73.91999816894531,81.5999984741211,1521
2016-01-19,79.19999694824219,80.63999938964844,78.72000122070312,80.63999938964844,235
2016-01-20,75.36000061035156,76.80000305175781,72.0,76.80000305175781,171
2016-01-21,77.76000213623047,78.72000122070312,73.91999816894531,77.76000213623047,160
2016-01-22,81.5999984741211,82.08000183105469,79.68000030517578,79.68000030517578,44
2016-01-25,80.63999938964844,83.04000091552734,79.19999694824219,81.12000274658203,33
2016-01-26,81.5999984741211,81.5999984741211,78.72000122070312,79.19999694824219,17
2016-01-27,79.68000030517578,80.63999938964844,77.27999877929688,80.63999938964844,31
2016-01-28,80.16000366210938,80.16000366210938,72.95999908447266,76.80000305175781,208
2016-01-29,74.87999725341797,80.16000366210938,73.91999816894531,74.87999725341797,227
2016-02-01,74.4000015258789,74.87999725341797,73.44000244140625,73.91999816894531,67
2016-02-02,68.16000366210938,73.44000244140625,64.31999969482422,64.31999969482422,371
2016-02-03,72.95999908447266,72.95999908447266,64.80000305175781,65.76000213623047,160
2016-02-04,72.0,76.80000305175781,71.5199966430664,76.80000305175781,125
2016-02-05,75.83999633789062,75.83999633789062,69.5999984741211,69.5999984741211,44
2016-02-08,69.5999984741211,72.95999908447266,69.5999984741211,71.5199966430664,108
2016-02-09,68.63999938964844,69.5999984741211,65.27999877929688,67.19999694824219,308
2016-02-10,65.27999877929688,66.72000122070312,65.27999877929688,65.27999877929688,52
2016-02-11,68.63999938964844,68.63999938964844,62.400001525878906,62.400001525878906,58
