Date,Tendencia_7d,Tendencia_50d,Forca_Tendencia,Forca_Movimento,Velas_Alta_Consecutivas
2026-03-09,Baixa,Alta,1.95,0.41,1
2026-03-10,Baixa,Alta,1.69,0.06,2
2026-03-11,Baixa,Alta,1.48,0.10,3
2026-03-12,Baixa,Alta,1.33,0.12,4
2026-03-13,Baixa,Alta,1.39,0.13,5
2026-03-16,Alta,Alta,1.51,0.05,6
2026-03-17,Alta,Alta,1.54,-0.17,0
2026-03-18,Alta,Alta,1.54,-0.24,0
2026-03-19,Baixa,Alta,1.50,0.30,1
2026-03-20,Baixa,Baixa,1.21,-0.69,0
2026-03-23,Alta,Alta,1.18,0.76,1
2026-03-24,Alta,Alta,1.20,0.51,2
2026-03-25,Alta,Alta,1.36,0.80,3
2026-03-26,Alta,Alta,1.41,-0.90,0
2026-03-27,Alta,Alta,1.79,-0.51,0
2026-03-30,Alta,Alta,1.75,-0.35,0
2026-03-31,Alta,Alta,1.68,0.33,1
2026-04-01,Alta,Alta,1.71,0.76,2
2026-04-02,Alta,Alta,1.87,0.36,3
2026-04-06,Baixa,Alta,1.72,-0.07,0
2026-04-07,Baixa,Alta,1.62,0.09,1
2026-04-08,Alta,Alta,1.59,0.22,2
2026-04-09,Alta,Alta,1.51,0.68,3
2026-04-10,Alta,Alta,1.54,0.78,4
2026-04-13,Alta,Alta,1.81,0.98,5
2026-04-14,Alta,Alta,2.36,-0.41,0
2026-04-15,Alta,Alta,2.95,0.37,1
2026-04-16,Alta,Alta,3.28,-0.19,0
2026-04-17,Alta,Alta,3.89,0.70,1
2026-04-20,Alta,Alta,4.55,0.54,2
2026-04-21,Alta,Alta,4.84,-0.43,0
2026-04-22,Alta,Alta,4.98,0.29,1
2026-04-23,Alta,Alta,5.28,0.62,2
2026-04-24,Alta,Alta,5.15,-0.36,0
2026-04-27,Alta,Alta,5.17,0.11,1
2026-04-28,Alta,Alta,5.28,0.21,2
2026-04-29,Alta,Alta,5.46,0.01,3
2026-04-30,Alta,Alta,5.82,0.92,4
2026-05-01,Alta,Alta,6.34,0.55,5
2026-05-04,Alta,Alta,6.36,0.39,6
2026-05-05,Alta,Alta,6.79,0.78,7
2026-05-06,Alta,Alta,7.17,0.11,8
2026-05-07,Alta,Alta,7.14,-0.71,0
2026-05-08,Alta,Alta,7.03,0.33,1
2026-05-11,Alta,Alta,7.07,-0.03,0
2026-05-12,Baixa,Alta,6.78,0.57,1
2026-05-13,Alta,Alta,6.64,0.24,2
2026-05-14,Baixa,Alta,6.30,-0.75,0
2026-05-15,Baixa,Alta,5.85,-0.29,0
2026-05-18,Baixa,Alta,5.55,-0.50,0
2026-05-19,Baixa,Alta,5.14,-0.14,0
2026-05-20,Baixa,Alta,4.64,-0.08,0
2026-05-21,Baixa,Alta,4.50,-0.27,0
2026-05-22,Baixa,Alta,4.47,-0.92,0
2026-05-26,Alta,Alta,4.53,0.57,1
2026-05-27,Alta,Alta,4.66,-0.16,0
2026-05-28,Baixa,Alta,4.61,-0.88,0
2026-05-29,Baixa,Alta,4.62,0.09,1
2026-06-01,Alta,Alta,4.69,0.61,2
2026-06-02,Alta,Alta,4.68,-0.11,0
2026-06-03,Alta,Alta,4.63,0.44,1
2026-06-04,Alta,Alta,4.71,0.45,2
2026-06-05,Baixa,Alta,4.57,-0.72,0
2026-06-08,Baixa,Alta,4.44,-0.48,0
2026-06-09,Baixa,Alta,4.24,-0.17,0
2026-06-10,Baixa,Alta,3.96,-0.60,0
2026-06-11,Baixa,Alta,3.74,0.56,1
2026-06-12,Alta,Alta,3.68,0.06,2
2026-06-15,Alta,Alta,3.55,-0.64,0
2026-06-16,Alta,Alta,3.51,-0.39,0
2026-06-17,Alta,Alta,3.57,-0.26,0
2026-06-18,Alta,Alta,3.53,-0.42,0
2026-06-22,Alta,Alta,3.56,0.46,1
2026-06-23,Baixa,Baixa,3.29,-0.52,0
