Date,Tendencia_7d,Tendencia_50d,Forca_Tendencia,Forca_Movimento,Velas_Alta_Consecutivas
2025-05-22,Alta,Alta,0.74,-0.24,0
2025-05-23,Baixa,Alta,0.82,0.18,1
2025-05-27,Alta,Alta,0.87,0.61,2
2025-05-28,Baixa,Alta,0.74,-0.77,0
2025-05-29,Baixa,Alta,0.69,-0.72,0
2025-05-30,Baixa,Alta,0.60,-0.29,0
2025-06-02,Alta,Alta,0.52,0.89,1
2025-06-03,Alta,Alta,0.56,0.69,2
2025-06-04,Alta,Alta,0.56,0.44,3
2025-06-05,Alta,Alta,0.47,-0.73,0
2025-06-06,Alta,Alta,0.56,0.50,1
2025-06-09,Alta,Alta,0.68,0.52,2
2025-06-10,Alta,Alta,0.81,0.87,3
2025-06-11,Alta,Alta,1.07,0.04,4
2025-06-12,Alta,Alta,1.28,-0.06,0
2025-06-13,Baixa,Alta,1.32,-0.18,0
2025-06-16,Alta,Alta,1.45,0.60,1
2025-06-17,Baixa,Alta,1.61,-0.64,0
2025-06-18,Baixa,Alta,1.69,0.03,1
2025-06-20,Baixa,Alta,1.94,-0.56,0
2025-06-23,Baixa,Alta,2.02,0.20,1
2025-06-24,Alta,Alta,2.14,0.67,2
2025-06-25,Alta,Alta,2.09,-0.96,0
2025-06-26,Alta,Alta,2.08,0.42,1
2025-06-27,Alta,Alta,1.98,-0.15,0
2025-06-30,Alta,Alta,2.18,0.54,1
2025-07-01,Alta,Alta,2.17,0.14,2
2025-07-02,Alta,Alta,2.33,0.97,3
2025-07-03,Alta,Alta,2.36,0.29,4
2025-07-07,Alta,Alta,2.35,-0.48,0
2025-07-08,Alta,Alta,2.22,-0.35,0
2025-07-09,Alta,Alta,2.13,0.17,1
2025-07-10,Alta,Alta,1.92,0.00,0
2025-07-11,Baixa,Alta,1.83,-0.79,0
2025-07-14,Alta,Alta,1.78,0.48,1
2025-07-15,Alta,Alta,1.78,0.00,0
2025-07-16,Alta,Alta,1.73,0.33,1
2025-07-17,Alta,Alta,1.76,0.76,2
2025-07-18,Alta,Alta,1.76,-0.30,0
2025-07-21,Alta,Alta,1.75,-0.44,0
2025-07-22,Alta,Alta,1.74,-0.16,0
2025-07-23,Baixa,Alta,1.74,-0.13,0
2025-07-24,Alta,Alta,1.62,0.06,1
2025-07-25,Alta,Alta,1.53,0.07,2
2025-07-28,Alta,Alta,1.49,-0.56,0
2025-07-29,Baixa,Alta,1.41,-0.64,0
2025-07-30,Baixa,Alta,1.33,-0.38,0
2025-07-31,Baixa,Alta,1.29,-0.77,0
2025-08-01,Baixa,Alta,1.17,-0.72,0
2025-08-04,Baixa,Alta,1.09,0.71,1
2025-08-05,Baixa,Alta,1.01,-0.41,0
2025-08-06,Alta,Alta,1.05,0.46,1
2025-08-07,Alta,Alta,1.01,-0.17,0
2025-08-08,Alta,Alta,1.12,-0.58,0
2025-08-11,Alta,Alta,1.12,-0.47,0
2025-08-12,Alta,Alta,1.19,0.16,1
2025-08-13,Alta,Alta,1.19,-0.43,0
2025-08-14,Alta,Alta,1.19,0.42,1
2025-08-15,Alta,Alta,1.11,-0.22,0
2025-08-18,Alta,Alta,1.14,0.78,1
2025-08-19,Baixa,Alta,1.03,-0.93,0
2025-08-20,Baixa,Alta,0.92,0.24,1
2025-08-21,Baixa,Alta,0.88,0.06,2
2025-08-22,Alta,Alta,0.84,0.69,3
2025-08-25,Alta,Alta,0.73,0.00,0
2025-08-26,Alta,Alta,0.80,0.54,1
2025-08-27,Alta,Alta,0.84,-0.21,0
2025-08-28,Alta,Alta,0.87,0.00,0
2025-08-29,Alta,Alta,0.94,-0.56,0
2025-09-02,Alta,Alta,0.98,-0.18,0
2025-09-03,Baixa,Alta,0.94,-0.62,0
2025-09-04,Baixa,Alta,0.90,0.11,1
2025-09-05,Baixa,Alta,0.83,-0.62,0
2025-09-08,Baixa,Alta,0.68,-0.33,0
2025-09-09,Alta,Alta,0.64,0.56,1
2025-09-10,Alta,Alta,0.57,-0.41,0
2025-09-11,Alta,Alta,0.57,0.45,1
2025-09-12,Alta,Alta,0.57,0.27,2
2025-09-15,Alta,Alta,0.61,0.05,3
2025-09-16,Alta,Alta,0.61,0.19,4
2025-09-17,Alta,Alta,0.64,0.42,5
2025-09-18,Alta,Alta,0.67,0.22,6
2025-09-19,Alta,Alta,0.74,0.19,7
2025-09-22,Alta,Alta,0.82,0.54,8
2025-09-23,Alta,Alta,0.85,-0.64,0
2025-09-24,Alta,Alta,0.88,0.10,1
2025-09-25,Baixa,Alta,0.81,-0.43,0
2025-09-26,Baixa,Alta,0.74,0.04,1
2025-09-29,Alta,Alta,0.74,0.84,2
2025-09-30,Alta,Alta,0.74,0.06,3
2025-10-01,Alta,Alta,0.74,0.36,4
2025-10-02,Alta,Alta,0.84,1.00,5
2025-10-03,Alta,Alta,0.98,-0.31,0
2025-10-06,Alta,Alta,1.05,-0.43,0
2025-10-07,Alta,Alta,1.11,-0.39,0
2025-10-08,Alta,Alta,1.22,0.70,1
2025-10-09,Alta,Alta,1.32,-0.07,0
2025-10-10,Baixa,Alta,1.32,-0.74,0
2025-10-13,Alta,Alta,1.42,0.94,1
2025-10-14,Alta,Alta,1.48,0.46,2
2025-10-15,Alta,Alta,1.51,-0.32,0
2025-10-16,Baixa,Alta,1.47,-0.95,0
2025-10-17,Baixa,Alta,1.47,0.65,1
2025-10-20,Alta,Alta,1.40,0.11,2
