Date,Dividends,Stock_Splits,Dividend_Yield,Dividend_Rate,Payout_Ratio,Dividend_1Y_Total,Dividend_1Y_Count,Last_Dividend,Ex_Dividend_Date
2024-04-19,0.3200,1.0000,0.0000,0.0000,0.0000,0.0000,0,0.3200,2024-04-18
2018-05-11,0.0000,1.0500,0.0000,0.0000,0.0000,0.0000,0,0.3200,2024-04-18
2015-02-12,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0,0.3200,2024-04-18
2013-04-26,0.0000,1.0500,0.0000,0.0000,0.0000,0.0000,0,0.3200,2024-04-18
2012-12-13,0.4082,1.0000,0.0000,0.0000,0.0000,0.0000,0,0.3200,2024-04-18
2012-04-26,0.0000,1.0500,0.0000,0.0000,0.0000,0.0000,0,0.3200,2024-04-18
2010-04-28,0.0000,1.0500,0.0000,0.0000,0.0000,0.0000,0,0.3200,2024-04-18
2009-04-24,0.0000,1.0500,0.0000,0.0000,0.0000,0.0000,0,0.3200,2024-04-18
2008-04-10,0.0000,1.0500,0.0000,0.0000,0.0000,0.0000,0,0.3200,2024-04-18
2007-04-11,0.0000,1.0500,0.0000,0.0000,0.0000,0.0000,0,0.3200,2024-04-18
2006-04-07,0.0000,1.0500,0.0000,0.0000,0.0000,0.0000,0,0.3200,2024-04-18
1999-10-06,0.0000,1.0500,0.0000,0.0000,0.0000,0.0000,0,0.3200,2024-04-18
1998-11-09,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0,0.3200,2024-04-18
