Symbol,Margem_Liquida,ROE,ROA,Margem_EBITDA,PL_Historico,PL_Projetado,P_VPA,EV_EBITDA,EBITDA,DY,Divida_Liquida_EBITDA,Crescimento_Receita,Crescimento_Lucro
DAVEW,37.21,111.59,32.0,35.94,,,0.09,,217304992.0,,1.23,46.7,104.1
DAX,,,,,17.74,,,,,145.0,,,
DBCA,0.0,,,0.0,,,585.88,,,,,,
DBCAU,0.0,,,0.0,,,595.89,,,,,,
DBCAW,0.0,,,0.0,,,24.69,,,,,,
DBGI,0.0,-766.22,-49.09,0.0,,,3.26,-0.83,-27462072.0,,,-29.7,
DBVT,0.0,-158.89,-66.36,0.0,,-33.33,4.58,-4.42,-165162000.0,,,12.5,
DBX,18.71,,14.21,33.21,14.51,7.8,-3.04,10.63,838899968.0,,4.78,0.8,-5.9
DCBO,13.71,132.85,7.7,11.74,14.61,8.46,-712.08,15.41,29477000.0,,2.84,14.5,
DCGO,-62.23,-97.78,-18.33,-26.29,,9.95,0.38,-0.28,-79323232.0,,,-21.3,
DCOY,0.0,-661.73,-54.13,0.0,0.06,-0.31,0.82,1.0,-4649061.0,,,,
DCTH,0.62,0.58,-0.95,-1.46,1229.0,-24.1,3.76,-254.07,-1322000.0,,,26.3,
DCX,0.0,1177.72,-0.79,0.0,0.01,,0.26,2.92,14735000.0,,0.0,,
DDI,30.77,12.35,8.73,39.79,4.93,4.74,0.57,0.46,147434000.0,,0.26,12.7,48.4
DDIV,,,,,17.07,,,,,161.0,,,
DDOG,3.69,3.93,-0.22,0.94,551.42,77.21,19.68,2166.36,34639000.0,,37.1,32.2,104.0
DECO,,,,,47.98,,,,,67.0,,,
DEFT,56.12,35.29,1.71,29.4,6.55,15.47,1.33,6.06,19563972.0,,0.15,-74.4,-89.7
DEMZ,,,,,27.92,,,,,44.0,,,
DERM,-14.82,-36.62,-4.49,-3.12,,-111.67,5.94,-90.42,-2021000.0,,,21.5,
DETX,0.0,,-112.04,0.0,,,-3.0,-2.24,-11894327.0,,,-12.9,
DEVS,0.0,,-140.31,0.0,,,-0.04,-1.26,-9236703.0,,,-92.9,
DFDV,0.0,-2398.44,-47.44,0.0,,-6.11,8.12,-2.36,-87279000.0,,,828.2,
DFDVW,0.0,-2398.44,-47.44,0.0,,,0.9,,-87279000.0,,,828.2,
DFGP,,,,,,,,,,364.0,,,
DFGX,,,,,,,,,,274.0,,,
DFLI,-126.9,-995.18,-16.94,-33.01,,-4.44,5.65,-3.87,-18148000.0,,,-27.3,
DFLIW,-126.9,-995.18,-16.94,-33.01,,,0.04,,-18148000.0,,,-27.3,
DFNS,0.0,-66.04,-12.27,0.0,,,0.2,-6.4,-31784300.0,,,,
DFNSW,0.0,-66.04,-12.27,0.0,,,0.08,,-31784300.0,,,,
DFSC,-141.78,-148.07,-54.72,-124.86,,,1.8,-0.62,-7763898.0,,,67.7,
DFSCW,-141.78,-148.07,-54.72,-124.86,,,0.01,,-7763898.0,,,67.7,
DFTX,0.0,-94.7,-35.72,0.0,,-22.74,13.5,,,,,,
DGCB,,,,,,,,,,322.0,,,
DGICA,6.78,10.64,2.12,8.76,10.17,9.66,1.03,7.6,84818048.0,425.0,0.41,-3.7,-56.2
DGICB,6.78,10.64,2.12,8.76,11.25,,1.14,8.43,84818048.0,350.0,0.41,-3.7,-56.2
DGII,9.1,6.8,4.59,21.82,60.84,24.55,3.89,26.19,103643000.0,,1.48,25.1,3.6
DGLO,,,,,25.08,,,,,,,,
DGNX,-276.48,,-74.89,-268.83,,,2.04,-2.15,-9584321.0,,,292.7,
DGRE,,,,,20.42,,,,,121.0,,,
DGRS,,,,,17.24,,,,,223.0,,,
DGRW,,,,,25.25,,,,,127.0,,,
DGXX,-98.97,-43.79,-15.98,-44.82,,,4.01,-39.07,-14210350.0,,,-26.8,
DH,-71.49,-75.5,-1.74,15.58,,3.88,0.53,3.07,37113000.0,,4.58,-5.5,
DHC,-21.1,-17.94,-0.53,14.33,,-19.24,1.37,20.74,217440992.0,44.0,11.12,-5.3,
DHCNI,,,,,,,,,,,,,
DHCNL,-18.59,-15.78,-0.52,14.49,,,2.74,,222768000.0,,10.85,-0.0,
DIBS,-12.33,-12.25,-6.97,-16.14,,-8.63,1.9,-6.29,-14443000.0,,,-0.7,
DIME,,,,,,,,,,,,,
DINE,,,,,,,,,,,,,
DIOD,5.5,4.61,1.42,12.74,60.58,22.46,2.73,24.79,198130000.0,,0.53,22.1,
DIVD,,,,,17.15,,,,,271.0,,,
DJCO,14.83,4.09,1.81,14.83,52.91,,2.12,22.22,13953000.0,,1.5,25.0,
DJT,0.0,-101.33,-16.79,0.0,,,1.74,-5.13,-416265504.0,,,6.1,
DJTWW,0.0,-101.33,-16.79,0.0,,,0.78,,-416265504.0,,,6.1,
DKI,-85.75,-223.95,-100.64,-84.96,,,0.92,-0.52,-8563328.0,,,-2.5,
DKNG,0.93,7.94,0.7,5.19,279.44,14.7,20.61,41.02,326607008.0,,5.87,16.8,
DKNX,,,,,,,,,,,,,
DLHC,-1.53,-4.02,1.59,8.41,,-13.46,0.73,9.16,24623000.0,,5.91,-33.6,
DLLL,,,,,,,,,,0.0,,,
DLO,15.85,34.99,9.24,19.17,18.98,11.0,6.45,11.88,232424992.0,160.0,0.47,54.9,-6.7
DLPN,0.0,,,0.0,,3.25,2.0,,,,,5.2,
DLTH,-1.99,-6.86,-0.34,3.73,,-118.29,0.99,14.2,20919000.0,,7.11,-4.0,
DLTR,6.51,33.98,6.74,12.18,18.2,14.83,6.25,11.8,2405299968.0,,3.16,7.2,9.5
DLXY,-1.45,-612.21,-11.66,-1.47,,,71.62,-2.05,-4518000.0,,,20.2,
DMAA,0.0,,,0.0,53.2,,-48.58,,,,,,18.8
DMAAR,0.0,,,0.0,,,-0.46,,,,,,18.8
DMAAU,0.0,,,0.0,,,-35.13,,,,,,18.8
DMAC,0.0,-86.47,-49.96,0.0,,-7.14,7.16,-7.83,-36692000.0,,,,
DMII,0.0,,,0.0,72.0,,-36.0,,,,,,
DMIIR,0.0,,,0.0,,,-0.28,,,,,,
DMIIU,0.0,,,0.0,,,-36.29,,,,,,
DMLP,40.87,21.52,13.23,85.61,18.86,,4.19,8.85,139295008.0,969.0,0.01,36.4,63.0
DMRA,0.0,-89.5,-14.7,0.0,,-11.04,3.65,-15.62,-64752000.0,,,,
DMRC,-85.75,-65.52,-27.16,-52.56,,-24.32,5.36,-10.56,-16883000.0,,,-19.1,
DMXF,,,,,19.55,,,,,436.0,,,
DNLI,0.0,-49.59,-26.95,0.0,,-10.0,4.24,-5.61,-531758016.0,,,,
DNMX,0.0,,,0.0,,,-37.21,,,,,,
DNMXU,0.0,,,0.0,,,-37.68,,,,,,
DNMXW,0.0,,,0.0,,,-1.12,,,,,,
DNNG,,,,,,,,,,,,,
DNTH,0.0,-22.7,-14.99,0.0,,-18.82,3.98,-19.22,-191172992.0,,,-60.2,
DNUT,-33.36,-58.15,-1.16,5.59,,64.59,0.94,21.25,84676000.0,347.0,15.09,-2.2,
DOCU,9.59,16.44,5.51,11.79,27.71,8.37,4.53,19.4,387452992.0,,0.47,8.7,17.6
DOGZ,-51.8,-9.96,-5.13,-36.57,,,0.17,-4.2,-5972956.0,,,-36.2,
DOMH,-31.19,-122.48,-65.84,0.0,,-2.02,2.17,,,,,394.5,
DOMO,-17.43,,-10.46,-9.35,,20.74,-0.54,-7.07,-29753000.0,,,-0.9,
DOO,3.01,52.33,7.19,12.39,20.26,17.79,8.92,5.94,1113699968.0,121.0,2.62,29.5,-14.2
DORM,8.84,13.57,8.56,18.08,20.67,13.67,2.62,11.14,388968992.0,,1.41,4.2,-23.5
DOX,11.8,15.86,8.16,22.17,10.45,6.47,1.64,6.3,1024816000.0,435.0,1.04,3.9,-11.6
DOYU,2.11,3.94,1.06,2.08,11.89,12.37,0.46,-27.16,76960088.0,,0.09,-13.2,
DPRO,-296.44,-32.03,-18.48,-289.92,,-11.07,1.79,-1.91,-24630644.0,,,49.4,
DPZ,11.89,,32.49,20.52,16.28,13.52,-2.43,14.01,1021726976.0,281.0,5.03,3.5,-4.6
DRCT,-65.75,,-40.86,-36.28,,-5.15,-0.43,-1.12,-12050000.0,,,-18.1,
DRDB,0.0,,,0.0,,,-121.03,,,,,,
DRDBU,0.0,,,0.0,,,-121.61,,,,,,
DRDBW,0.0,,,0.0,,,-2.54,,,,,,
DRH,9.26,6.91,3.46,25.06,26.74,21.96,1.74,13.05,281665984.0,293.0,4.24,1.3,75.0
DRIO,-192.23,-59.87,-19.73,-151.71,,-8.81,0.7,-1.73,-32149000.0,,,-17.3,
DRIV,,,,,23.94,,,,,76.0,,,
DRMA,0.0,-103.58,-52.66,0.0,,-0.32,0.77,,,,,,
DRMAW,0.0,-103.58,-52.66,0.0,,,0.01,,,,,,
DRNZ,,,,,,,,,,,,,
DRS,7.85,10.86,5.54,12.5,42.75,31.78,4.39,26.29,462000000.0,79.0,0.59,5.9,22.0
DRTS,0.0,-90.51,-30.5,0.0,,-19.04,12.74,-18.25,-45028500.0,,,,
DRTSW,0.0,-90.51,-30.5,0.0,,,2.42,,-45028500.0,,,,
DRUG,0.0,-15.02,-10.44,0.0,,-7.64,2.94,,,,,,
DRVN,9.74,19.78,3.88,18.68,14.48,8.38,2.58,11.62,354798016.0,,6.21,8.2,444.1
DSAC,0.0,,,0.0,,,-43.11,,,,,,
DSACU,0.0,,,0.0,,,-43.48,,,,,,
DSACW,0.0,,,0.0,,,-2.06,,,,,,
DSGN,0.0,-31.26,-20.93,0.0,,-8.4,3.93,-8.21,-77735000.0,,,,
DSGR,0.27,0.85,2.73,7.7,230.83,17.1,1.97,13.5,153836992.0,,5.52,3.8,-88.2
DSGX,23.35,11.42,8.07,42.4,33.69,20.82,3.57,17.04,319684000.0,,0.03,14.7,34.1
DSP,2.51,9.2,1.95,9.07,27.73,13.93,2.37,8.07,32830000.0,,0.71,25.3,
DSWL,17.33,10.05,0.99,5.65,5.49,,0.53,-6.91,3465000.0,544.0,0.0,-13.4,-37.0
DSY,8.75,,-0.16,12.43,,,-1.98,199.94,910187.0,,2.09,-17.3,212.0
DSYWW,8.75,,-0.16,12.43,,,-0.01,,910187.0,,2.09,-17.3,212.0
DTCR,,,,,21.83,,,,,74.0,,,
DTCX,-159.7,,,-22.94,,,0.97,-21.08,-2060350.0,,,1265.2,
DTI,-2.35,-2.99,1.0,20.13,,8.5,0.64,4.87,31141000.0,,2.46,-11.5,
DTIL,-96.73,-70.93,-18.22,-83.73,,-3.67,2.36,-2.83,-37739000.0,,,37272.4,
DTSQ,0.0,,-0.99,0.0,70.75,,-26.76,,,,,,
DTSQR,0.0,,-0.99,0.0,,,-0.26,,,,,,
DTSQU,0.0,,-0.99,0.0,,,-26.64,,,,,,
DTSS,-4.79,-81.45,-23.12,-1.46,,15.8,2.3,-13.94,-829752.0,,,-36.5,
DTST,1309.16,-6.47,-13.39,-292.08,,-5.98,0.68,0.61,-4138399.0,,,10.9,
DUKH,,,,,15.81,,0.4,,,563.0,,,
DUKR,0.0,-41844.45,-72.71,0.0,,,-24.9,-15.88,-1351000.0,,,,
DUKRW,0.0,-41844.45,-72.71,0.0,,,-5.22,,-1351000.0,,,,
DUKX,,,,,17.46,,,,,225.0,,,
DUO,-23.87,-17.88,-10.97,-32.3,,-1.41,0.36,0.98,-114621000.0,,,-24.0,
DUOG,,,,,,,,,,,,,
DUOL,38.44,36.96,5.87,16.14,15.12,16.85,4.45,28.18,177404992.0,,0.52,26.5,23.6
DUOT,-45.37,-20.08,-9.24,-41.47,,34.54,3.34,-31.77,-10282441.0,,,-45.0,
DUSG,,,,,,,,,,,,,
DVAL,,,,,14.2,,,,,187.0,,,
DVGR,,,,,24.1,,,,,,,,
DVIN,,,,,30.68,,,,,,,,
DVLT,-292.68,-81.24,-19.34,-76.62,,,1.04,-10.11,-32085000.0,,,443.1,
DVLU,,,,,15.67,,,,,63.0,,,
DVOL,,,,,23.37,,,,,68.0,,,
DVQQ,,,,,31.42,,,,,3.0,,,
DVRE,,,,,33.41,,,,,,,,
DVSP,,,,,25.83,,,,,25.0,,,
DVUT,,,,,22.37,,,,,,,,
DVXB,,,,,26.54,,,,,,,,
DVXC,,,,,14.98,,,,,,,,
DVXE,,,,,20.92,,,,,,,,
DVXF,,,,,18.07,,,,,,,,
DVXK,,,,,33.03,,,,,,,,
DVXP,,,,,26.06,,,,,,,,
DVXV,,,,,28.57,,,,,,,,
DVXY,,,,,30.88,,,,,,,,
DVY,,,,,15.74,,1.31,,,339.0,,,
DWAS,,,,,23.19,,,,,1.0,,,
DWAW,,,,,19.1,,,,,67.0,,,
DWSH,,,,,,,,,,646.0,,,
DWSN,4.91,22.72,7.64,12.85,28.56,-9.14,6.09,13.11,12366000.0,,1.78,128.3,722.4
DWTX,0.0,-34.67,-18.6,0.0,1.32,-0.24,0.62,-1.36,-28609872.0,,,,
DWUS,,,,,29.51,,,,,3.0,,,
DXCM,19.31,35.62,9.65,26.82,29.58,22.36,9.0,19.78,1292300032.0,,1.07,15.0,92.2
DXLG,-9.22,-32.81,-2.51,0.16,,-3.74,0.37,346.84,678000.0,,314.28,-2.1,
DXPE,4.27,18.41,7.3,10.83,30.93,22.04,5.01,14.58,223196000.0,,4.04,9.5,-2.0
DXR,34359.16,22.45,-1.64,0.0,6.19,,1.12,,,,,-82.6,329.3
DXST,-2.49,-5.06,-0.61,-0.42,,,0.18,-61.95,-54586.0,,,-20.0,-93.2
DYAI,-191.5,-2826.92,-56.22,0.0,,-2.52,-73.27,,,,,182.3,
DYFI,,,,,59.78,,,,,461.0,,,
DYN,0.0,-58.89,-32.7,0.0,,-6.8,3.87,-5.43,-468991008.0,,,,
DYNB,,,,,,,,,,,,,
DYNC,0.0,,,0.0,,,-13.78,,,,,,963.8
DYNCU,0.0,,,0.0,,,-13.88,,,,,,963.8
DYNCW,0.0,,,0.0,,,-0.2,,,,,,963.8
DYOR,0.0,,,0.0,,,-39.11,,,,,,
DYORU,0.0,,,0.0,,,-39.42,,,,,,
DYORW,0.0,,,0.0,,,-1.05,,,,,,
DYTA,,,,,26.37,,,,,152.0,,,
EA,11.78,13.49,5.7,19.72,58.15,21.19,7.54,33.61,1484999936.0,37.0,1.25,11.9,85.3
EART,,,,,23.34,,,,,56.0,,,
EASY,,,,,24.87,,,,,,,,
EBAY,17.61,42.88,8.59,25.69,25.17,16.11,11.02,17.35,2980999936.0,114.0,2.42,19.5,7.1
EBC,35.94,9.43,1.34,0.0,11.59,9.67,1.09,,,257.0,,,
EBI,,,,,18.79,,,,,92.0,,,
EBIZ,,,,,19.53,,,,,59.0,,,
EBMT,16.79,8.41,0.74,0.0,11.88,11.06,0.96,,,244.0,,11.6,24.3
EBON,-215.6,-5.61,-5.37,0.0,,,0.06,9.12,-20321000.0,,,-21.3,
ECBK,27.59,5.57,0.62,0.0,17.35,,1.0,,,,,44.4,140.6
ECOR,-44.08,,-58.08,-40.92,,-15.18,-11.93,-4.9,-14280000.0,,,42.6,
ECOW,,,,,12.84,,,,,461.0,,,
ECPG,16.0,31.96,8.17,38.32,6.69,6.43,1.78,7.97,709569984.0,,5.7,21.0,100.0
ECX,-6.24,,,-2.43,,7.52,-1.62,-41.23,-19743750.0,,,-25.8,
ECXWW,-6.24,,,-2.43,,,-0.06,,-19743750.0,,,-25.8,
EDBL,-131.59,-328.84,-93.95,-129.53,,-0.01,-0.06,-0.92,-17400000.0,,,22.9,
EDBLW,-131.59,-328.84,-93.95,-129.53,,,-0.01,,-17400000.0,,,22.9,
EDHL,-120.62,-70.77,-45.08,-138.22,,,1.89,-3.13,-2573952.0,,,-13.4,
EDIT,-281.59,-326.07,-26.95,-220.16,,-2.95,61.33,-1.92,-85186000.0,,,-39.2,
EDRY,-0.55,0.62,1.93,33.26,,5.49,0.71,8.48,18573280.0,,5.39,38.9,
EDSA,0.0,-81.16,-47.73,0.0,,-3.96,37.27,-6.08,-10909381.0,,,,
EDTK,0.0,-7.88,-3.43,-150.2,,,1.2,-11.81,-1342288.0,,,,
EDUC,10.15,5.58,-6.77,-25.29,5.67,3.64,0.3,-3.21,-5793700.0,,,-37.0,
EEE,,,,,25.8,,,,,,,,
EEFT,7.11,24.67,5.27,15.4,9.44,5.29,2.02,4.6,668300032.0,,4.05,10.5,-2.4
EEIQ,-27.17,-19.98,-10.65,-42.17,,-28.33,0.56,-2.27,-3770040.0,,,-10.5,
EEMA,,,,,18.6,,,,,118.0,,,
EFAS,,,,,13.97,,,,,457.0,,,
EFOI,-23.09,-26.4,-9.85,-22.12,,-13.41,4.68,-20.5,-861000.0,,,54.1,
EFRA,,,,,22.18,,,,,160.0,,,
EFSC,28.94,10.32,1.22,0.0,12.2,10.91,1.21,,,201.0,,12.6,-0.8
EFSCP,28.94,10.32,1.22,0.0,4.83,,0.38,,,625.0,,12.6,-0.8
EFSI,23.41,10.32,1.01,0.0,11.23,11.65,1.2,,,290.0,,431.7,
EFTY,-4.77,-4.6,-0.37,0.58,187.75,,52.15,15976.61,18677.0,,111.45,-25.9,
EGAN,41.68,53.7,5.15,11.38,4.89,15.47,2.04,9.89,10496000.0,,0.3,7.1,3702.8
EGHA,0.0,,,0.0,46.91,,-38.36,,,,,,
EGHAR,0.0,,,0.0,,,-1.45,,,,,,
EGHAU,0.0,,,0.0,,,-39.93,,,,,,
EGHT,0.22,1.23,1.76,5.4,166.0,4.61,1.6,12.88,39750000.0,,9.33,4.6,
EH,-77.56,-34.11,-12.56,-79.81,,9.31,3.39,-0.24,-333258496.0,,,-1.7,
EHGO,-102.68,-83.84,-40.02,-100.49,,,0.7,-0.67,-14621703.0,,,16.1,
EHLD,33.65,30.74,12.15,39.29,3.76,,1.01,5.08,7071006.0,709.0,2.76,166.0,-78.8
EHLS,,,,,19.17,,,,,0.0,,,
EHTH,6.31,3.52,3.59,13.06,,1.18,0.08,6.75,69095000.0,,1.93,-22.2,
EIKN,0.0,,,0.0,,-1.54,0.93,-0.83,-310081984.0,,,,
EJH,2.33,-0.35,-0.71,-5.37,0.0,,0.02,95.97,-2646549.0,,,-0.3,
EKG,,,,,27.19,,,,,0.0,,,
ELAB,0.0,-107.9,-33.28,0.0,,,0.2,0.14,-9028514.0,,,,
ELBM,0.0,-135.24,-5.97,0.0,,-6.15,1.0,-3.95,-16190000.0,,,,
ELDN,0.0,-72.68,-35.09,0.0,,-5.46,2.99,,,,,,
ELE,-1.05,-0.12,1.13,52.86,261.83,25.14,1.29,31.1,29775000.0,76.0,0.02,109.0,-87.9
ELFY,,,,,27.24,,,,,84.0,,,
ELIL,,,,,45.57,,,,,1165.0,,,
ELMT,1.34,,,10.53,,34.33,6.09,27.5,22247000.0,,2.76,20.7,
ELOG,3.95,13.79,5.2,5.46,6.09,,0.7,4.43,2510225.0,,2.36,27.8,0.0
ELPW,-271.27,,-3.39,-69.14,,,-0.0,-2.41,-1419792.0,,,,
ELSE,2.42,1.74,-0.19,0.38,95.88,,1.82,407.04,40000.0,,0.0,15.2,
ELTK,-6.12,-7.05,-1.59,1.18,,8.75,1.43,110.57,584000.0,230.0,20.76,-18.2,
ELTX,0.0,-1076.34,-92.41,0.0,,-1.56,-53.38,-2.08,-37383000.0,,,,
ELUT,400.16,,-26.39,-154.92,,-0.94,1.97,-1.04,-19297000.0,,,-48.4,
ELVA,7.03,11.94,6.51,12.53,90.55,27.98,7.85,56.8,8926000.0,,3.84,20.2,0.0
ELVN,0.0,-26.64,-18.86,0.0,,-20.0,6.53,-21.7,-115585000.0,,,,
ELVR,-57.7,-26.34,-8.87,-18.72,,1180.71,2.48,-48.19,-29027872.0,,,7.6,
ELWT,-28.87,,-35.59,0.0,,,17.53,,,,,-21.1,
EMAT,0.0,,-36.73,0.0,,,-173.66,,,,,,
EMB,,,,,,,,,,504.0,,,
EMBC,10.73,,16.84,31.87,1.66,1.8,-0.3,4.13,332300000.0,1470.0,4.13,-14.4,
EMCB,,,,,,,,,,536.0,,,
EMEM,,,,,18.2,,,,,,,,
EMEQ,,,,,19.38,,,,,164.0,,,
EMIF,,,,,12.53,,,,,484.0,,,
EMIS,0.0,,,0.0,,,175.0,,,,,,
EMISR,0.0,,,0.0,,,2.76,,,,,,
EML,2.38,3.83,3.17,7.39,29.59,,1.12,10.21,18129244.0,191.0,2.95,-5.7,-66.5
EMPD,0.0,-253.69,-17.56,0.0,,,0.63,-4.14,-33393820.0,,,-51.2,
EMPG,13.7,66.26,16.42,23.2,192.89,,17.05,21.51,1272625.0,,1.2,141.6,
EMSC,,,,,18.32,,,,,,,,
EMXC,,,,,19.88,,,,,204.0,,,
EMXF,,,,,15.15,,,,,278.0,,,
ENDW,,,,,16.51,,,,,220.0,,,
ENGN,0.0,-52.59,-28.86,0.0,,-1.22,0.45,0.84,-131911000.0,,,,
ENGNW,0.0,-52.59,-28.86,0.0,,,0.07,,-131911000.0,,,,
ENGS,-30.11,,-11.34,-23.14,,,15.86,-21.05,-1594744.0,,,-43.2,
ENHI,,,,,18.05,,,,,,,,
ENHU,,,,,26.36,,,,,,,,
ENLT,11.53,4.8,2.2,79.3,220.88,95.17,5.77,39.91,424508000.0,,12.65,42.6,-78.7
ENLV,0.0,126.17,-0.8,0.0,0.02,-0.78,0.07,-9.54,-14668000.0,,,,
ENPH,9.64,14.11,2.22,12.8,46.75,19.6,5.64,32.96,179162000.0,,3.42,-20.6,
ENSC,-250.36,-1149.11,-218.22,0.0,,-0.12,-7.44,,,,,-27.2,
ENSG,6.89,16.92,5.41,10.55,25.84,19.07,3.89,19.51,556633984.0,16.0,4.03,18.4,21.9
ENTA,-89.55,-59.0,-11.84,-80.12,,-7.19,3.5,-7.79,-55451000.0,,,15.0,
ENTG,8.18,6.79,3.75,27.22,97.24,36.38,6.33,32.89,880700032.0,24.0,4.27,5.0,46.3
ENTX,0.0,-82.33,-45.01,0.0,,-2.82,6.77,-5.82,-12476000.0,,,,
ENVB,0.0,-183.12,-96.72,0.0,,-0.96,0.5,-0.01,-8063011.0,,,,
ENVX,0.0,-71.31,-16.68,0.0,,-11.06,5.58,-9.61,-141855008.0,,,49.1,
ENZL,,,,,24.39,,,,,217.0,,,
EOLS,-14.39,,-9.06,-7.67,,28.08,-15.42,-24.14,-23152000.0,,,6.7,
EOSE,-296.12,,-33.45,-166.43,,-136.8,-2.54,-11.29,-267462000.0,,,444.7,
EPOW,-35.84,-123.46,-6.69,-21.73,,,-1.98,-11.26,-10088235.0,,,-56.8,
EPRX,0.0,-54.52,-33.84,0.0,,-6.91,3.66,-6.56,-47070900.0,,,,
EPSM,-29.26,-15.2,-7.82,-28.84,,,1.58,-11.04,-1475850.0,,,-61.6,
EPSN,-14.89,-8.12,4.77,47.62,,14.32,1.29,6.83,29056894.0,472.0,1.58,58.4,-88.9
EQ,0.0,-54.39,-31.91,0.0,,-10.85,3.02,-5.87,-20267000.0,,,,
EQIX,14.93,10.06,3.5,44.95,76.91,58.05,7.7,30.84,4281999872.0,177.0,5.45,12.1,20.0
EQPT,0.47,1.8,3.29,7.7,265.33,23.95,5.03,28.48,358000000.0,,11.75,38.1,
EQRR,,,,,20.62,,,,,125.0,,,
ERAS,0.0,-69.86,-17.92,0.0,,-26.23,11.9,-34.35,-130678000.0,,,,
ERET,,,,,21.15,,,,,353.0,,,
ERIC,10.9,27.01,6.92,15.53,14.41,16.8,0.37,,35869999104.0,275.0,,-10.3,-78.5
ERIE,13.97,25.85,14.84,20.22,20.27,15.78,4.91,13.7,826961984.0,265.0,0.06,2.3,8.7
ERII,15.07,10.77,7.54,21.94,23.95,16.56,2.5,12.66,29972000.0,,0.3,20.3,
ERNA,0.0,-2505.61,-81.2,0.0,0.01,-0.64,1.05,0.16,-10080000.0,,,,
ERNAW,0.0,-2505.61,-81.2,0.0,,,0.01,,-10080000.0,,,,
ESCA,6.43,8.97,5.81,10.8,16.8,9.6,1.47,10.19,25981000.0,324.0,0.7,0.6,68.1
ESEA,58.31,30.55,12.2,70.25,3.6,4.64,0.99,3.15,159731696.0,469.0,1.32,-0.9,-12.1
ESGD,,,,,18.58,,,,,331.0,,,
ESGE,,,,,18.08,,,,,201.0,,,
ESGU,,,,,26.51,,,,,92.0,,,
ESLA,0.0,,-271.46,0.0,,-3.12,-8.06,,,,,,
ESLAW,0.0,,-174.75,0.0,,,-0.05,,,,,,
ESLT,7.14,15.57,3.78,11.15,62.55,42.77,8.43,39.08,917980032.0,52.0,0.98,15.5,42.1
ESMV,,,,,24.16,,,,,158.0,,,
ESN,,,,,21.62,,,,,78.0,,,
ESOA,2.1,13.67,5.71,7.07,33.55,20.97,4.22,11.89,31193652.0,87.0,1.2,21.5,
ESPO,,,,,20.81,,,,,144.0,,,
ESQ,36.26,18.7,2.36,0.0,19.41,13.35,3.14,,,65.0,,17.0,5.3
ESTA,-19.05,-164.01,-5.22,-8.22,,1160.13,172.98,-146.11,-18867000.0,,,44.7,
ETEC,,,,,26.78,,,,,26.0,,,
ETHA,,,,,,,,,,0.0,,,
ETHB,,,,,,,,,,,,,
ETON,-1.7,-5.36,4.76,12.75,,17.81,29.93,83.8,11085000.0,,2.82,40.4,
ETOR,1.92,20.96,15.29,0.0,15.29,11.32,2.24,,,,,-35.6,24.6
ETRL,,,,,,,,,,,,,
ETS,-75.24,-28.74,-20.39,-82.27,,,0.87,-4.97,-2286394.0,,,16.3,
EU,-62.96,-12.09,-11.46,-160.03,,-6.62,1.13,-4.57,-69159000.0,,,0.3,
EUDA,-40.66,,-89.35,-32.79,,8.94,-6.35,-13.0,-2236242.0,,,78.9,
EUDAW,-40.66,,-89.35,-32.79,,,-0.02,,-2236242.0,,,78.9,
EUFN,,,,,12.04,,,,,343.0,,,
EURK,0.0,,-1.43,0.0,,,-26.73,,,,,,
EURKR,0.0,,-1.43,0.0,,,-0.82,,,,,,
EURKU,0.0,,-1.43,0.0,,,-26.87,,,,,,
EVAX,-129.6,-82.93,-23.49,-117.22,,84.75,2.14,-1.11,-8824500.0,,,,
EVCM,5.47,3.36,2.61,20.02,67.85,11.47,2.19,16.56,118929000.0,,4.52,3.6,
EVER,15.35,56.35,16.65,10.4,7.08,6.51,3.05,7.48,74562000.0,,0.03,14.5,142.9
EVGN,0.0,-171.75,-32.89,0.0,,-0.61,-2.01,-0.35,-13334000.0,,,-86.3,
EVGO,-11.15,-27.38,-6.95,-7.14,,-5.79,-2.21,-26.21,-29886000.0,,,45.5,
EVGOW,-11.15,-27.38,-6.95,-7.14,,,-0.0,,-29886000.0,,,45.5,
EVLV,-22.75,-30.16,-5.79,-2.9,,-184.67,8.24,-210.24,-4649000.0,,,44.7,
EVLVW,-22.75,-30.16,-5.79,-2.9,,,0.03,,-4649000.0,,,44.7,
EVMT,,,,,,,,,,1040.0,,,
EVO,-26.02,-24.06,-3.14,-2.24,,-13.79,1.16,-52.32,-16689000.0,,,-21.7,
EVOX,0.0,,,0.0,,,-36.94,,,,,,
EVOXU,0.0,,,0.0,,,-37.56,,,,,,
EVOXW,0.0,,,0.0,,,-1.25,,,,,,
EVPF,,,,,,,,,,,,,
EVRG,14.63,8.87,2.9,46.21,22.56,18.64,1.93,12.72,2787000064.0,328.0,5.7,5.0,18.5
EVSD,,,,,,,,,,462.0,,,
EVTV,0.0,-5847.81,-88.18,0.0,,,-2.47,-0.94,-24675862.0,,,280.8,
EVYM,,,,,,,,,,479.0,,,
EWBC,50.0,16.45,1.75,0.0,13.08,11.56,1.99,,,244.0,,14.1,23.6
EWJV,,,,,14.51,,,,,467.0,,,
EWTX,0.0,-38.14,-25.64,0.0,,-27.25,8.46,-18.65,-197454000.0,,,,
EWZS,,,,,9.84,,,,,357.0,,,
EXC,11.21,9.76,2.84,33.28,17.08,15.35,1.63,11.91,8248999936.0,360.0,6.21,7.9,-0.3
