Symbol,Margem_Liquida,ROE,ROA,Margem_EBITDA,PL_Historico,PL_Projetado,P_VPA,EV_EBITDA,EBITDA,DY,Divida_Liquida_EBITDA,Crescimento_Receita,Crescimento_Lucro
ACTG,-8.53,-2.91,-3.23,1.27,,-9.04,0.88,90.28,2727000.0,,37.87,-56.4,
ACTU,0.0,,-203.78,0.0,,-2.27,12.06,,,,,,
ACWI,,,,,22.79,,,,,138.0,,,
ACWX,,,,,18.15,,,,,247.0,,,
ACXP,0.0,-160.83,-66.5,0.0,,-0.67,0.69,,,,,,
ADAC,0.0,,,0.0,,,-30.8,,,,,,
ADACU,0.0,,,0.0,,,-31.48,,,,,,
ADACW,0.0,,,0.0,,,-2.2,,,,,,
ADAG,-229.56,-34.39,-16.0,-273.75,,-7.65,5.34,-6.46,-20999432.0,,,7332.8,
ADAM,48.08,13.01,1.64,0.0,7.75,8.08,0.89,,,1058.0,,10.7,21.2
ADAMG,48.08,13.01,1.64,0.0,,,2.46,,,,,10.7,21.2
ADAMH,48.08,13.01,1.64,0.0,,,2.5,,,,,10.7,21.2
ADAMI,,,,,,,,,,,,,
ADAML,48.08,13.01,1.64,0.0,,,2.39,,,706.0,,10.7,21.2
ADAMM,48.08,13.01,1.64,0.0,,,2.48,,,1061.0,,10.7,21.2
ADAMN,48.08,13.01,1.64,0.0,,,2.35,,,835.0,,10.7,21.2
ADAMO,,,,,,,,,,,,,
ADAMZ,48.08,13.01,1.64,0.0,,,1.87,,,918.0,,10.7,21.2
ADBE,28.69,62.95,19.93,38.61,11.3,7.17,6.84,8.22,9729000448.0,,0.73,12.7,7.9
ADBG,,,,,,,,,,0.0,,,
ADEA,26.5,28.51,12.67,59.12,27.88,19.63,7.18,13.36,272240992.0,66.0,1.47,19.5,100.0
ADGM,0.0,-268.88,-30.52,0.0,,-0.5,2.6,-1.39,-18784000.0,,,,
ADI,26.01,9.64,5.49,48.27,60.51,27.55,5.88,33.12,6149394944.0,108.0,1.42,37.2,110.5
ADIL,0.0,-265.94,-108.75,0.0,,-4.47,1.04,-0.12,-7549321.0,,,,
ADMA,32.43,43.3,21.99,42.13,12.78,8.71,5.17,203.71,214822000.0,,454.65,15.9,
ADP,20.12,71.21,5.95,29.35,20.57,18.08,13.91,14.09,6339899904.0,308.0,0.69,7.0,10.5
ADPT,-16.82,-23.96,-5.74,-10.08,,-68.14,12.72,-92.5,-29786000.0,,,35.1,
ADSE,-174.88,,-30.09,-146.09,,13.54,-36.12,,-46105000.0,,,-44.9,
ADSEW,-174.88,,-30.09,-146.09,,,-1.39,,-46105000.0,,,-44.9,
ADSK,19.49,50.4,11.32,28.49,27.56,13.23,12.49,18.53,2139000064.0,,1.27,18.4,231.4
ADTN,-3.18,-4.94,-0.24,8.13,,19.04,8.48,18.54,91278000.0,,2.67,15.5,
ADTX,0.0,,-50.76,0.0,,-0.0,-0.0,-0.12,-18075768.0,,,1094.4,
ADUR,0.0,-68.5,-35.04,0.0,,-44.59,16.61,-26.01,-16978848.0,,,,
ADUS,6.89,9.45,6.3,11.04,17.73,12.86,1.57,11.21,159872000.0,,0.87,7.7,17.2
ADV,-6.78,-41.48,2.27,8.49,,4.26,1.09,6.34,304939008.0,,5.07,5.8,
ADVB,0.0,71.33,-21.5,0.0,1.28,,0.77,-1.76,-2936914.0,,,,
ADXN,0.0,-94.75,-20.64,0.0,,-129.0,1.34,-2.25,-2814174.0,,,949.7,
AEAQ,0.0,,,0.0,,,-43.43,,,,,,
AEAQU,0.0,,,0.0,,,-44.13,,,,,,
AEAQW,0.0,,,0.0,,,-1.52,,,,,,
AEBI,0.48,1.4,2.93,7.18,112.91,9.2,1.18,13.18,124367000.0,81.0,6.37,82.8,-82.0
AEC,0.0,-42.77,-14.15,0.0,,,2.07,-4.2,-20216074.0,,,,
AEHL,-17.69,,,-17.79,,,0.05,-0.43,-14429329.0,,,-5.7,
AEHR,-25.23,-8.68,-6.1,-26.36,,682.6,22.83,-267.74,-11928000.0,,,-43.7,
AEI,0.0,-42.44,-7.37,-272.73,,,0.42,-2.43,-11954944.0,,,-8.2,
AEIS,10.0,14.66,5.96,15.48,75.72,30.98,10.02,46.99,295000000.0,11.0,2.32,26.3,144.8
AEMD,0.0,-142.89,-66.58,0.0,,-2.72,0.44,0.18,-6969978.0,,,,
AENT,2.02,20.55,7.17,4.3,13.02,8.62,2.49,8.03,47706000.0,,1.79,21.2,24.8
AENTW,2.02,20.55,7.17,4.3,,,0.17,,47706000.0,,1.79,21.2,24.8
AEP,16.29,12.58,3.17,40.75,19.27,19.5,2.29,13.7,9141000192.0,284.0,5.67,10.2,6.7
AERT,3.65,,6.91,7.65,17.6,,-14.08,9.4,5355000.0,,2.68,4.3,
AERTW,3.65,,6.91,7.65,,,-0.04,,5355000.0,,2.68,4.3,
AESPU,0.0,,,0.0,,,-592.35,,,,,,
AEVA,0.0,-516.07,-63.16,0.0,,-15.29,-119.49,-11.71,-126998000.0,,,85.9,
AEYE,-9.05,-66.91,-7.65,-5.52,,5.32,23.36,-36.43,-2272000.0,,,8.4,
AFBI,10.91,2.05,0.53,0.0,16.45,,2.21,,,,,4.2,
AFCG,0.0,-6.89,-3.72,0.0,,3.53,0.4,,,625.0,,10.1,171.5
AFJK,0.0,,-1.08,0.0,206.0,,-23.36,,,,,,-43.4
AFJKR,0.0,,-1.08,0.0,,,-0.18,,,,,,-43.4
AFJKU,0.0,,-1.08,0.0,,,-27.78,,,,,,-43.4
AFOS,,,,,29.17,,,,,,,,
AFRI,-8.44,-202.21,-0.9,0.96,,,-31.05,252.79,1702000.0,,93.65,-22.2,
AFRIW,-8.44,-202.21,-0.9,0.96,,,-1.92,,1702000.0,,93.65,-22.2,
AFRM,9.63,11.49,1.74,15.9,65.3,19.02,6.36,49.68,631558976.0,,14.39,32.6,3529.3
AFSC,,,,,25.64,,4.41,,,7.0,,,
AFYA,20.07,16.76,8.25,39.33,8.86,7.25,1.39,2.15,1484216960.0,457.0,2.16,8.2,3.2
AGCC,9.82,10.36,3.05,13.11,366.0,,29.52,411.14,813597.0,,20.57,274.1,-64.0
AGEM,,,,,15.99,,,,,175.0,,,
AGEN,52.16,,2.53,12.26,1.5,-1.33,-0.53,8.37,15188000.0,,2.7,40.2,
AGGA,,,,,58.93,,,,,426.0,,,
AGIO,0.0,-32.81,-21.69,0.0,,-7.54,1.9,-3.01,-470265984.0,,,137.7,
AGIX,,,,,35.43,,,,,0.0,,,
AGMB,0.0,-39.22,-20.58,0.0,,-5.98,-3.04,-13.12,-58872332.0,,,,
AGMH,31.41,95.31,18.09,40.31,0.03,,0.06,-0.11,19562996.0,,0.11,430.7,
AGMI,,,,,19.56,,,,,391.0,,,
AGNC,91.71,13.25,1.37,0.0,8.16,6.97,1.17,,,1381.0,,,
AGNCL,91.71,13.25,1.37,0.0,,,2.79,,,781.0,,,
AGNCM,91.71,13.25,1.37,0.0,,,2.82,,,857.0,,,
AGNCN,91.71,13.25,1.37,0.0,,,2.9,,,912.0,,,
AGNCO,91.71,13.25,1.37,0.0,,,2.86,,,909.0,,,
AGNCP,91.71,13.25,1.37,0.0,,,2.83,,,891.0,,,
AGNCZ,91.71,13.25,1.37,0.0,,,2.86,,,727.0,,,
AGNG,,,,,24.86,,,,,90.0,,,
AGNT,-0.35,-7.18,-2.75,-0.22,,13.6,3.06,-62.53,-10555000.0,420.0,,5.3,
AGPU,0.0,-1187.68,-72.35,0.0,,,0.56,-2.14,-29445688.0,,,-68.0,
AGRZ,13.29,85.85,21.91,22.59,3.78,,1.79,1.07,14156994.0,,0.8,320.2,
AGYS,12.15,13.09,4.68,13.64,63.04,27.1,7.42,53.45,43567000.0,,0.44,11.7,212.9
AGZD,,,,,,,,,,399.0,,,
AHCO,-2.42,-4.85,2.64,17.73,,8.25,0.86,5.58,582608000.0,,3.43,5.4,
AHD,,,,,,,,,,,,,
AHG,0.0,-68.29,-1.42,-9.85,,,5.89,-790.55,-1462343.0,,,0.9,
