Symbol,Market_Cap_Atual
AEBI,962626072.5
AEC,80233894.4
AEHL,15908886.96
AEHR,3220498677.06
AEI,49786662.4
AEIS,14602289378.72
AEMD,3223961.6
AENT,298711331.8
AENTW,0.0
AEP,72768606979.68
AERT,40405016.96
AERTW,0.0
AESPU,0.0
AEVA,1589778678.62
AEYE,74710621.7
AFBI,137378707.9
AFCG,72760914.16
AFJK,97839658.8
AFJKR,0.0
AFJKU,0.0
AFOS,0.0
AFRI,270447064.45
AFRIW,0.0
AFRM,21143720845.83
AFSC,0.0
AFYA,759335102.04
AGCC,333594360.0
AGEM,0.0
AGEN,127842263.17
AGGA,0.0
AGIO,2116594564.31
AGIX,0.0
AGMB,588020821.5
AGMH,2528824.1
AGMI,0.0
AGNC,11984381599.68
AGNCL,0.0
AGNCM,11984026560.0
AGNCN,12313730640.0
AGNCO,0.0
AGNCP,0.0
AGNCZ,0.0
AGNG,0.0
AGNT,782181878.24
AGPU,71297829.46
AGRZ,7368984.9
AGYS,2432751746.73
AGZD,0.0
AHCO,1319725274.4
AHD,0.0
AHG,1161499717.6
AHMA,20394900.0
AIA,0.0
AIAI,1280417757.9
AIDX,6685262.64
AIFA,14476972.67
AIFC,90893732.15
AIFD,0.0
AIFF,20399031.8
AIFU,266656770.0
AIHS,5970310.59
AIIO,412698439.52
AIIOW,0.0
AIIR,1074590233.4
AIMD,13624402.7
AIMDW,0.0
AIMS,0.0
AIOS,46202400.0
AIOT,516596380.3
AIP,1903209098.04
AIPI,0.0
AIPO,0.0
AIQ,0.0
AIRE,11373272.12
AIRG,80871476.4
AIRJ,364174957.64
AIRJW,0.0
AIRO,233641134.92
AIRR,0.0
AIRS,324510132.6
AIRT,62160697.0
AIRTP,58605085.0
AISP,96430773.6
AISPW,0.0
AIXC,26103140.97
AIXI,2780175.76
AKAM,17427354011.37
AKAN,8750807.38
AKBA,295084067.3
AKTS,1442458732.18
AKTX,18561492.18
ALAB,68052379941.78
ALAR,62054966.35
ALBG,0.0
ALBT,4337154.36
ALCO,304217733.54
ALDF,253196100.0
ALDFU,0.0
ALDFW,0.0
ALDX,121848557.36
ALEC,203176092.21
ALF,310500000.0
ALFUU,0.0
ALFUW,0.0
ALGM,10339067981.12
ALGN,12066938218.23
ALGS,30443459.95
ALGT,2782896350.0
ALHC,4477854606.18
ALIL,0.0
ALIS,85454850.0
ALISR,0.0
ALISU,0.0
ALKS,8012106042.49
ALKT,1610638568.7
ALLO,714469941.27
ALLR,21002155.68
ALLT,363498625.57
ALLW,0.0
ALM,5161264233.31
ALMR,1589998606.84
ALMS,3025320084.72
ALMU,399788516.4
ALNT,1632175047.36
ALNY,38475653287.14
ALOT,220705658.4
ALOV,298349100.0
ALOVU,0.0
ALOVW,0.0
ALOY,1173462756.66
ALP,6824972.52
ALPS,108160211.9
ALRM,2130761915.64
ALRS,763408265.48
ALT,565919788.14
ALTI,342199185.57
ALTO,395949131.83
ALTY,0.0
ALVO,1251413374.7
ALVOW,0.0
ALXO,236830733.92
ALZN,5212495.17
AMA,0.0
AMAL,1354484186.45
AMAN,78780000.0
AMAT,465164950848.4
AMBA,2873804799.35
AMBR,134894336.2
AMCI,97181560.9
AMCX,318593245.28
AMD,847667742184.15
AMDD,0.0
AMDG,0.0
AMDL,0.0
AMGN,187284168160.74
AMID,0.0
AMIX,83858663.7
AMKR,21495504760.96
AMLX,1820120009.29
AMOD,15828925.44
AMODW,0.0
AMPG,195868916.27
