Symbol,Setor,commodity,ticker_commodity,descricao,direcao,impacto
AAPL,Technology,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures positivo influencia o preço da ação na mesma direção
AAPL,Technology,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures positivo influencia o preço da ação na mesma direção
AAPL,Technology,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures positivo influencia o preço da ação na mesma direção
ABNB,Consumer Cyclical,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures influencia indiretamente o preço da ação
ABNB,Consumer Cyclical,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures influencia indiretamente o preço da ação
ABNB,Consumer Cyclical,Petroleo_WTI,CL=F,Crude Oil WTI Futures,positiva,Preço da Crude Oil WTI Futures influencia indiretamente o preço da ação
ABNB,Consumer Cyclical,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures influencia indiretamente o preço da ação
ADBE,Technology,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures positivo influencia o preço da ação na mesma direção
ADBE,Technology,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures positivo influencia o preço da ação na mesma direção
ADBE,Technology,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures positivo influencia o preço da ação na mesma direção
ADI,Technology,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures positivo influencia o preço da ação na mesma direção
ADI,Technology,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures positivo influencia o preço da ação na mesma direção
ADI,Technology,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures positivo influencia o preço da ação na mesma direção
ADP,Technology,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures positivo influencia o preço da ação na mesma direção
ADP,Technology,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures positivo influencia o preço da ação na mesma direção
ADP,Technology,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures positivo influencia o preço da ação na mesma direção
AMAT,Technology,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures positivo influencia o preço da ação na mesma direção
AMAT,Technology,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures positivo influencia o preço da ação na mesma direção
AMAT,Technology,Prata,SI=F,Silver Futures,positiva,Preço da Silver Futures positivo influencia o preço da ação na mesma direção
AMD,Technology,Cobre,HG=F,Copper Futures,positiva,Preço da Copper Futures positivo influencia o preço da ação na mesma direção
AMD,Technology,Ouro,GC=F,Gold Futures,positiva,Preço da Gold Futures positivo influencia o preço da ação na mesma direção
