Symbol,Market_Cap_Atual
AAPL,4167977885680.0
ABNB,60833924715.48
ADBE,80585175000.0
ADI,188458846646.4
ADP,89360598741.1
AMAT,497685529101.2
AMD,850488681289.62
AMGN,193393665822.42
AMZN,2503071794662.84
AVGO,1736611923873.96
BKNG,140609440996.56
CDNS,104057102320.0
CHTR,18867077233.16
CMCSA,82549709496.94
COST,422431299962.16
CSCO,448417021837.05
CSX,88558897876.96
GILD,158771955487.12
GOOG,1840673941957.62
GOOGL,1979519691988.1
HON,73570295265.39
INTC,644936320000.0
ISRG,143329702157.4
KDP,45442686331.4
KHC,28102930020.6
KLAC,324792268214.4
LIN,240244909222.2
LRCX,474078960390.0
MELI,84922849568.2
META,1208374084797.0
MPWR,64523411600.0
MRNA,26691811642.93
MRVL,233370396000.0
MSFT,2770583291550.88
MU,1278845746671.83
NFLX,310799039351.68
NVDA,4663269130000.0
PCAR,63512222115.72
PEP,193247372057.85
QCOM,199617060000.0
REGN,65202551649.4
SNPS,86996716520.5
TEAM,12569600451.3
TMUS,197697157701.56
TSLA,1426085911057.41
TXN,259767785335.13
VRTX,124704753588.78
WDAY,24966210000.0
WMT,920670177441.95
