Symbol,Margem_Liquida,ROE,ROA,Margem_EBITDA,PL_Historico,PL_Projetado,P_VPA,EV_EBITDA,EBITDA,DY,Divida_Liquida_EBITDA,Crescimento_Receita,Crescimento_Lucro
AAPL,27.15,141.47,26.23,35.44,34.36,29.53,39.09,26.16,159975997440,38.0,0.53,16.6,21.8
ABNB,19.9,32.32,6.25,20.71,35.94,24.01,11.34,29.37,2619000064,,0.97,17.9,6.0
ADBE,28.69,62.95,19.93,38.61,11.6,7.36,7.02,8.43,9729000448,,0.73,12.7,7.9
ADI,26.01,9.64,5.49,48.27,57.49,26.18,5.59,31.5,6149394944,114.0,1.42,37.2,110.5
ADP,20.12,71.21,5.95,29.35,20.83,18.33,14.1,14.28,6339899904,304.0,0.69,7.0,10.5
AMAT,29.31,39.69,14.86,31.96,58.8,38.46,20.82,53.55,9274999808,34.0,0.78,11.4,33.5
AMD,13.37,8.06,3.65,19.84,172.14,39.61,13.19,113.33,7430000128,,0.52,37.8,91.2
AMGN,20.96,101.32,8.35,45.45,24.94,15.26,21.04,14.11,16917999616,281.0,3.39,5.8,4.4
AMZN,12.22,24.29,6.84,20.98,31.66,23.55,5.66,16.65,155860992000,,1.51,16.6,74.8
AVGO,38.85,37.28,12.12,55.77,60.63,18.82,19.81,42.34,42083999744,71.0,1.54,47.9,85.4
BKNG,22.23,,22.26,37.48,23.91,14.75,-16.22,13.85,10378000384,89.0,1.85,16.2,240.0
CDNS,21.18,20.66,10.39,36.43,87.74,40.14,15.86,52.42,2014227968,,1.53,18.7,23.0
CHTR,9.03,27.5,5.41,40.22,3.62,2.99,1.0,5.34,21974999040,,4.41,-1.0,8.9
CMCSA,15.0,20.92,4.54,28.23,4.54,6.14,0.94,4.75,35371999232,570.0,2.67,5.3,-32.6
COST,3.01,29.15,8.67,4.7,47.84,42.1,25.55,30.51,13790000128,62.0,0.74,21.5,45.5
CSCO,19.68,25.23,7.34,28.0,37.92,23.82,9.17,27.33,17006999552,148.0,1.94,12.0,37.1
CSX,21.55,23.68,7.08,46.82,29.24,21.89,6.52,16.13,6624999936,117.0,2.93,1.7,26.5
GILD,30.99,43.36,13.29,49.56,17.4,13.22,6.75,11.61,14737999872,256.0,1.5,4.4,54.8
GOOG,37.92,38.88,14.64,38.18,25.51,23.0,8.47,24.95,161315995648,26.0,0.59,21.8,82.0
GOOGL,37.92,38.88,14.64,38.18,25.72,23.18,8.54,25.15,161315995648,26.0,0.59,21.8,82.0
HON,10.89,24.26,5.95,22.64,18.52,20.29,5.41,20.36,8526000128,205.0,4.43,2.4,-41.9
INTC,-5.9,-2.91,0.63,26.36,,82.97,5.79,47.32,14174000128,,3.18,7.2,
ISRG,28.15,17.23,10.24,36.72,49.23,34.34,8.21,35.76,3885600000,,0.0,23.0,18.8
KDP,10.81,6.31,3.61,26.22,24.74,13.24,1.8,18.41,4441999872,276.0,6.5,9.4,-47.7
KHC,-23.05,-12.58,3.47,23.06,,11.33,0.67,7.86,5761999872,675.0,3.67,0.8,13.6
KLAC,35.66,94.98,21.28,44.67,70.44,49.12,55.74,55.72,5850215936,37.0,1.05,11.5,11.8
LIN,20.44,18.23,7.24,39.22,34.48,26.36,6.23,19.45,13589999616,123.0,1.94,8.2,13.4
LRCX,30.94,66.76,22.78,36.2,71.39,47.34,44.79,60.28,7847764992,27.0,0.48,23.8,40.8
MELI,6.04,31.26,5.11,12.39,44.24,28.65,11.66,23.25,3940999936,,3.14,49.0,-15.6
META,32.84,32.93,16.4,50.85,20.0,15.18,5.73,12.83,109308002304,38.0,0.79,33.1,62.4
MPWR,22.98,19.57,12.13,28.99,94.35,43.3,17.55,73.7,857198976,61.0,0.02,26.1,39.5
MRNA,-143.55,-36.56,-13.09,-103.33,,-16.04,3.61,-9.91,-2299000064,,,260.2,
MRVL,28.99,16.03,3.81,31.11,91.67,43.21,12.82,86.58,2712000000,9.0,1.95,27.6,-80.4
MSFT,39.34,34.01,14.81,57.96,22.23,19.26,6.69,15.28,184457003008,98.0,0.68,18.3,23.4
MU,55.91,66.64,34.87,75.57,25.58,7.61,17.63,18.46,68222001152,5.0,0.09,345.7,1368.5
NFLX,28.52,48.49,15.4,30.47,23.81,19.21,9.99,22.07,14288497664,,1.17,16.2,86.4
NVDA,62.97,114.29,52.73,65.29,29.48,15.13,23.86,27.91,165514002432,52.0,0.08,85.2,214.5
PCAR,8.91,13.11,4.14,11.58,25.73,17.79,3.21,21.75,3216600064,116.0,4.68,-8.9,19.7
PEP,9.15,43.88,9.09,19.59,22.16,15.55,9.05,12.59,18695999488,419.0,2.82,8.5,27.8
QCOM,22.31,36.08,12.69,29.22,20.36,17.26,7.35,15.78,12999000064,194.0,1.17,-3.5,173.0
REGN,29.65,14.55,6.13,29.38,15.46,11.77,2.05,13.31,4382799872,59.0,0.62,19.0,-7.2
SNPS,8.91,3.82,1.49,19.54,104.21,26.32,2.85,56.21,1696253056,,6.39,41.9,-96.0
TEAM,-3.5,-19.29,0.55,2.83,,12.67,13.14,114.71,175120992,,7.1,31.7,
TMUS,11.65,18.02,5.87,37.43,19.41,13.07,3.55,9.34,33884999680,223.0,3.6,10.6,-12.0
TSLA,3.95,4.9,2.23,11.33,345.19,151.76,17.34,126.01,11093999616,,1.43,15.8,8.3
TXN,29.11,32.35,12.16,46.99,48.79,29.81,15.48,31.01,8664999936,199.0,1.62,18.6,31.3
VRTX,35.51,24.2,12.14,40.77,29.16,22.88,6.45,23.98,4981199872,,0.4,7.8,61.4
WDAY,8.6,10.86,4.34,15.34,38.82,9.83,4.12,19.93,1512000000,,2.52,13.5,248.0
WMT,3.14,24.13,6.83,6.18,40.88,35.21,9.76,22.13,44837998592,86.0,1.68,7.3,19.4
