Symbol,dividend_yield,dividend_rate,payout_ratio,ex_dividend_date,last_dividend,dividend_count_1y,total_dividends_1y
AAPL,38.0,1.08,12.59,2026-05-10,0.27,0,0.0
ABNB,0.0,0.0,0.0,N/A,0.0,0,0.0
ADBE,0.0,0.0,0.0,2005-03-23,0.0065,0,0.0
ADI,114.0,4.4,60.57,2026-06-01,1.1,0,0.0
ADP,304.0,6.8,60.45,2026-06-11,1.7,0,0.0
AMAT,34.0,2.12,17.31,2026-08-19,0.53,0,0.0
AMD,0.0,0.0,0.0,1995-04-26,0.0,0,0.0
AMGN,281.0,10.08,67.22,2026-05-14,2.52,0,0.0
AMZN,0.0,0.0,0.0,N/A,0.0,0,0.0
AVGO,71.0,2.6,41.26,2026-06-21,0.65,0,0.0
BKNG,89.0,1.61,20.73,2026-06-04,0.42,0,0.0
CDNS,0.0,0.0,0.0,N/A,0.0,0,0.0
CHTR,0.0,0.0,0.0,N/A,0.0,0,0.0
CMCSA,570.0,1.32,25.88,2026-06-30,0.33,0,0.0
COST,62.0,5.88,27.01,2026-04-30,1.47,0,0.0
CSCO,148.0,1.68,55.0,2026-07-05,0.42,0,0.0
CSX,117.0,0.56,32.52,2026-05-28,0.14,0,0.0
GILD,256.0,3.28,43.4,2026-06-14,0.82,0,0.0
GOOG,26.0,0.88,6.41,2026-06-07,0.22,0,0.0
GOOGL,26.0,0.88,6.41,2026-06-07,0.22,0,0.0
HON,205.0,9.52,74.12,2026-05-14,1.19,0,0.0
INTC,0.0,0.0,0.0,2024-08-06,0.125,0,0.0
ISRG,0.0,0.0,0.0,N/A,0.0,0,0.0
KDP,276.0,0.92,68.15,2026-06-25,0.23,0,0.0
KHC,675.0,1.6,73.06,2026-06-04,0.4,0,0.0
KLAC,37.0,0.92,21.52,2026-05-17,0.23,0,0.0
LIN,123.0,6.4,40.45,2026-06-03,1.6,0,0.0
LRCX,27.0,1.04,19.09,2026-06-16,0.26,0,0.0
MELI,0.0,0.0,0.0,2017-12-27,0.15,0,0.0
META,38.0,2.1,7.64,2026-06-14,0.525,0,0.0
MPWR,61.0,8.0,47.82,2026-06-29,2.0,0,0.0
MRNA,0.0,0.0,0.0,N/A,0.0,0,0.0
MRVL,9.0,0.24,8.25,2026-07-09,0.06,0,0.0
MSFT,98.0,3.64,20.73,2026-08-19,0.91,0,0.0
MU,5.0,0.53,1.12,2026-07-05,0.15,0,0.0
NFLX,0.0,0.0,0.0,N/A,0.0,0,0.0
NVDA,52.0,1.0,0.61,2026-06-03,0.25,0,0.0
PCAR,116.0,1.4,28.09,2026-05-12,0.35,0,0.0
PEP,419.0,5.92,89.32,2026-06-04,1.48,0,0.0
QCOM,194.0,3.68,38.28,2026-06-03,0.92,0,0.0
REGN,59.0,3.76,8.74,2026-05-19,0.94,0,0.0
SNPS,0.0,0.0,0.0,N/A,0.0,0,0.0
TEAM,0.0,0.0,0.0,N/A,0.0,0,0.0
TMUS,223.0,4.08,40.38,2026-08-27,1.02,0,0.0
TSLA,0.0,0.0,0.0,N/A,0.0,0,0.0
TXN,199.0,5.68,95.04,2026-05-04,1.42,0,0.0
VRTX,0.0,0.0,0.0,N/A,0.0,0,0.0
WDAY,0.0,0.0,0.0,N/A,0.0,0,0.0
WMT,86.0,0.99,33.54,2026-08-20,0.248,0,0.0
