Symbol,Market_Cap_Atual
AACB,232837500.0
AACBU,321988250.0
AACG,47096993.59
AACI,253943900.0
AACIU,0.0
AACIW,0.0
AACO,234343550.0
AACOU,0.0
AACP,176491200.0
AACPR,0.0
AACPU,0.0
AADR,0.0
AAEQ,0.0
AAL,8974996309.09
AALG,0.0
AAME,39162677.76
AAOI,14770286121.69
AAON,12143411007.5
AAPB,0.0
AAPD,0.0
AAPG,1667936049.92
AAPL,4556899072560.0
AAPU,0.0
AARD,83120426.85
AAUS,0.0
AAVM,0.0
AAXJ,0.0
ABAT,493820160.58
ABCL,1746747247.96
ABCS,0.0
ABEO,323162466.48
ABI,0.0
ABIG,0.0
ABLV,27215522.79
ABLVW,0.0
ABNB,55831299826.47
ABNG,0.0
ABOS,165401158.2
ABSI,926076032.64
ABTC,307633120.86
ABTS,6100580.82
ABUS,859289038.5
ABVC,33280565.76
ABVX,7184462330.25
ACAA,283859059.44
ACAAU,0.0
ACAD,3669584694.1
ACB,202212985.68
ACCL,20645852.0
ACDC,1324339911.96
ACEP,0.0
ACET,73196687.88
ACFN,41687247.96
ACGC,217710272.0
ACGCU,0.0
ACGCW,0.0
ACGL,30707850889.32
ACGLN,0.0
ACGLO,7869398826.24
ACHC,2366311604.71
ACHV,505082560.44
ACIC,479309424.83
ACIU,243238839.47
ACIW,4225054849.2
ACLS,4892529063.43
ACMR,5697496955.94
ACNB,537357755.28
ACNT,122196666.8
ACOG,132386552.32
ACON,8593252.5
ACONW,0.0
ACRS,617313465.6
ACRV,64630610.79
ACT,5663602224.65
ACTG,448173572.48
ACTU,43545050.64
ACWI,0.0
ACWX,0.0
ACXP,7521041.5
ADAC,229770000.0
ADACU,0.0
ADAG,228611175.24
ADAM,789879139.32
ADAMG,0.0
ADAMH,0.0
ADAMI,0.0
ADAML,0.0
ADAMM,0.0
ADAMN,0.0
ADAMO,0.0
ADAMZ,0.0
ADBE,103572208000.0
ADBG,0.0
ADEA,3534914655.45
ADGM,16657844.25
ADI,213183384796.8
ADIL,4973200.72
ADMA,1798556268.4
ADP,91039482725.5
ADPT,2559109828.08
ADSE,842273032.73
ADSEW,0.0
ADSK,48478949629.6
ADTN,1422326636.0
ADTX,73432.89
ADUR,530867749.22
ADUS,1651646028.24
ADV,479427796.8
ADVB,7175613.04
ADXN,8101401.6
AEAQ,236450000.0
AEAQU,0.0
AEBI,923873010.0
AEC,83650889.6
AEHL,18248429.16
AEHR,3604228375.86
AEI,54065203.7
AEIS,12903436882.5
AEMD,3295131.0
AENT,282399450.2
AENTW,0.0
AEP,68725906591.92
AERT,38159384.16
AERTW,0.0
AESPU,0.0
AEVA,1595563179.51
AEYE,93700612.5
AFBI,137134912.5
AFCG,82350954.0
AFJK,129407988.84
AFJKU,0.0
AFOS,0.0
AFRI,267481044.8
AFRIW,0.0
AFRM,19507091472.27
AFSC,0.0
AFYA,766738090.5
AGCC,359343105.0
AGEM,0.0
AGEN,134088627.82
AGGA,0.0
AGIO,1646174137.12
AGIX,0.0
AGMB,590975700.0
AGMH,2712738.58
AGMI,0.0
AGNC,11674440696.24
AGNCL,0.0
AGNCM,11993583200.0
AGNCN,12280282400.0
AGNCO,0.0
AGNCP,0.0
AGNCZ,0.0
AGNG,0.0
AGNT,752603571.92
AGPU,84589731.33
AGRZ,6285310.65
AGYS,2488521672.15
AGZD,0.0
AHCO,1322446357.44
AHD,0.0
AHG,1238363669.5
AHMA,11622900.0
AIA,0.0
AIAI,913378730.1
AIDX,8913683.52
AIFA,16287329.08
AIFC,109072478.58
AIFD,0.0
AIFF,25693437.0
AIFU,263101324.2
AIHS,5332262.13
AIIO,50664198.96
AIIOW,0.0
AIIR,1106667553.8
AIMD,16201992.4
AIMDW,0.0
AIMS,0.0
AIOS,50220000.0
AIOT,511101125.37
AIP,1728679006.08
AIPI,0.0
AIPO,0.0
AIQ,0.0
AIRE,12124337.26
AIRG,87969913.2
AIRJ,384459701.08
AIRJW,0.0
AIRO,293702314.96
AIRR,0.0
AIRS,364721170.77
AIRT,58106738.5
AIRTP,58757306.0
AISP,103663081.62
AISPW,0.0
AIXC,25496091.18
AIXI,9233497.64
AKAM,23314010922.36
AKAN,8812552.82
AKBA,260210495.71
AKTS,1034447450.66
AKTX,17145928.24
ALAB,62313642144.06
ALAR,69818473.35
ALBG,0.0
ALBT,4457630.87
ALCO,296430590.19
ALDF,252959025.0
ALDFU,0.0
ALDFW,0.0
ALDX,112197186.48
ALEC,196514580.99
ALF,312512500.0
ALFUU,0.0
ALFUW,0.0
ALGM,9890271982.66
ALGN,11581367317.17
ALGS,27695466.22
ALGT,2230081525.44
ALHC,2945956977.75
ALIL,0.0
ALIS,85033475.0
ALISU,0.0
ALKS,7127057507.32
ALKT,1778658671.88
ALLO,690309122.0
ALLR,25138943.92
ALLT,372304783.39
ALLW,0.0
ALM,5663487306.04
ALMR,1451376234.84
ALMS,2478516005.76
ALMU,490582978.0
ALNT,1475127276.48
ALNY,39063108608.34
ALOT,117384856.68
ALOV,297748800.0
ALOVU,0.0
ALOY,844746272.4
ALP,6589628.64
ALPS,118144231.46
ALRM,2225231629.17
ALRS,705612379.68
ALT,558140821.98
ALTI,342199185.57
ALTO,428492896.09
ALTY,0.0
ALVO,979831636.88
ALVOW,0.0
ALXO,224720071.39
ALZN,4375452.15
AMA,0.0
AMAL,1216795716.78
AMAN,78468000.0
AMAT,397591063761.1
AMBA,3237472053.0
AMBR,132283478.08
AMCI,109837764.18
AMCX,306264789.76
AMD,884633458670.28
AMDD,0.0
AMDG,0.0
AMDL,0.0
AMGN,182540132432.28
AMID,0.0
AMIX,4449644.16
AMKR,18640013353.6
AMLX,1467659384.4
AMOD,11149757.22
AMODW,0.0
AMPG,135055798.67
AMPH,798963692.28
AMPL,842362067.46
AMRN,304681153.77
AMRX,4109013560.96
AMSC,2225899748.15
AMSF,563918695.65
AMSS,59325342.7
AMST,7842999.9
AMTX,172397868.65
AMUN,0.0
AMUU,0.0
AMYY,0.0
AMZD,0.0
AMZN,2689492501188.72
AMZU,0.0
AMZZ,0.0
ANAB,1491130218.48
ANDE,2482881222.96
ANEL,0.0
ANGH,32633308.8
ANGHW,0.0
ANGI,243901536.48
ANGL,0.0
ANGO,462771848.0
ANIK,191734041.84
ANIP,1710325312.14
ANIX,84490202.16
ANL,661351641.04
ANNA,137149000.0
ANNAW,0.0
ANNX,883111279.82
ANPA,91365617.75
ANSC,374325834.69
ANSCU,0.0
ANSCW,0.0
ANTA,174425591.32
ANTX,151267876.2
ANV,0.0
ANY,23977594.3
AOHY,0.0
AOSL,1577887352.16
AOTG,0.0
AOUT,120919296.0
APA,13548513800.91
APAC,62257562.5
APACU,0.0
APC,244742241.81
APEI,961015336.32
APGE,5211591091.27
API,319008380.87
APLD,12776756088.69
APLM,30569043.84
APLMW,37354748.0
APM,6918037.07
APMCU,0.0
APOG,797033016.65
APP,174520997560.0
APPF,3995286533.16
APPN,1018756371.45
APPS,1046139357.93
APPX,0.0
APRE,9410909.76
APURU,0.0
APVO,6255447.1
APWC,56488461.98
APXT,346423500.0
APXTU,0.0
APXTW,0.0
APYX,158702274.29
AQB,5147204.0
AQMS,12842862.92
AQST,505563979.57
AQWA,0.0
ARAI,28522640.85
ARAY,44016567.52
ARBB,9479424.72
ARBE,132461722.44
ARBEW,0.0
ARBK,48441509.07
ARCB,3164351051.4
ARCC,13412666744.6
ARCI,352267380.0
ARCIU,0.0
ARCL,126049040.0
ARCLR,0.0
ARCLU,0.0
ARCT,216015324.4
ARDX,1338899277.54
AREC,263149329.12
ARGX,50567364110.94
ARHS,354303260.64
ARKO,841392907.5
ARKR,22538481.25
ARLP,3269220133.41
ARM,439866875730.8
ARMG,0.0
ARMY,0.0
AROW,591408299.82
ARQ,111608270.8
ARQQ,254771297.04
ARQQW,0.0
ARQT,2670530034.9
ARRY,1345980807.5
ARTC,302202996.69
ARTCU,0.0
ARTL,5088888.4
ARTNA,302742131.16
ARTV,338659740.06
ARTW,13367975.88
ARVN,496813224.6
ARVR,0.0
ARWR,10219176873.55
ARXS,2878963073.5
ASBP,7564166.56
ASBPW,0.0
ASCI,0.0
ASD,0.0
ASEC,0.0
ASLE,296275237.83
ASMB,486909832.5
ASMG,0.0
ASML,665369640149.4
ASMU,0.0
ASND,13393232002.5
ASO,3340876259.86
ASPC,25712291.0
ASPCU,0.0
ASPI,950571024.85
ASPS,69027167.88
ASPSW,0.0
ASPSZ,0.0
ASRT,151667364.6
ASRV,63616001.25
ASST,1018373997.3
ASTC,72511749.7
ASTE,1177912434.9
ASTH,1819711440.6
ASTI,0.0
ASTL,582799063.07
ASTLW,0.0
ASTS,32183947840.59
ASUR,257847880.67
ASYS,368390008.07
ATAI,1667795033.22
ATAT,3932001530.3
ATC,0.0
ATCX,20539503.06
ATEC,1181101862.4
ATER,11576233.7
ATEX,1253604931.88
ATGL,225885000.0
ATHE,72684032.94
ATHR,41049187.4
ATII,334071100.0
ATIIU,320774250.0
