date,1. open,2. high,3. low,4. close,5. volume
2026-06-03,10.72,13.11,10.72,12.79,4748.0
2026-06-02,10.99,10.99,10.88,10.88,898.0
2026-06-01,10.87,10.87,10.87,10.87,9.0
2026-05-29,10.89,10.89,10.87,10.87,441.0
2026-05-28,10.53,10.53,10.53,10.53,0.0
2026-05-27,10.53,10.53,10.53,10.53,9.0
2026-05-26,10.53,10.53,10.53,10.53,34.0
2026-05-22,10.53,10.53,10.53,10.53,6.0
2026-05-21,10.53,10.53,10.53,10.53,0.0
2026-05-20,10.53,10.53,10.53,10.53,6.0
2026-05-19,10.53,10.53,10.53,10.53,0.0
2026-05-18,10.53,10.53,10.53,10.53,1.0
2026-05-15,10.53,10.53,10.53,10.53,0.0
2026-05-14,10.53,10.53,10.53,10.53,0.0
2026-05-13,10.53,10.53,10.53,10.53,0.0
2026-05-12,10.53,10.53,10.53,10.53,0.0
2026-05-11,10.53,10.53,10.53,10.53,0.0
2026-05-08,10.53,10.53,10.53,10.53,0.0
2026-05-07,10.53,10.53,10.53,10.53,0.0
2026-05-06,10.53,10.53,10.53,10.53,0.0
2026-05-05,10.53,10.53,10.53,10.53,0.0
2026-05-04,10.53,10.53,10.53,10.53,0.0
2026-05-01,10.53,10.53,10.53,10.53,6.0
2026-04-30,10.53,10.53,10.53,10.53,17.0
2026-04-29,10.53,10.53,10.53,10.53,0.0
2026-04-28,10.53,10.53,10.53,10.53,0.0
2026-04-27,10.53,10.53,10.53,10.53,0.0
2026-04-24,10.53,10.53,10.53,10.53,1.0
2026-04-23,10.53,10.53,10.53,10.53,0.0
2026-04-22,10.53,10.53,10.53,10.53,0.0
2026-04-21,10.53,10.53,10.53,10.53,1.0
2026-04-20,10.53,10.53,10.53,10.53,0.0
2026-04-17,10.53,10.53,10.53,10.53,29.0
2026-04-16,10.53,10.53,10.53,10.53,0.0
2026-04-15,10.53,10.53,10.53,10.53,1.0
2026-04-14,10.53,10.53,10.53,10.53,11.0
2026-04-13,10.53,10.53,10.53,10.53,100.0
2026-04-10,10.7,10.7,10.7,10.7,97.0
2026-04-09,10.7,10.7,10.7,10.7,1.0
2026-04-08,10.7,10.7,10.7,10.7,0.0
2026-04-07,10.7,10.7,10.7,10.7,0.0
2026-04-06,10.7,10.7,10.7,10.7,20.0
2026-04-02,10.7,10.7,10.7,10.7,0.0
2026-04-01,10.7,10.7,10.7,10.7,0.0
2026-03-31,10.7,10.7,10.7,10.7,0.0
2026-03-30,10.7,10.7,10.7,10.7,96.0
2026-03-27,10.7,10.7,10.7,10.7,0.0
2026-03-26,10.7,10.7,10.7,10.7,0.0
2026-03-25,10.7,10.7,10.7,10.7,0.0
2026-03-24,10.7,10.7,10.7,10.7,0.0
2026-03-23,10.7,10.7,10.7,10.7,0.0
2026-03-20,10.7,10.7,10.7,10.7,0.0
2026-03-19,10.7,10.7,10.7,10.7,0.0
2026-03-18,10.7,10.7,10.7,10.7,4.0
2026-03-17,10.7,10.7,10.7,10.7,8.0
2026-03-16,10.7,10.7,10.7,10.7,8.0
2026-03-13,10.7,10.7,10.7,10.7,0.0
2026-03-12,10.7,10.7001,10.65,10.7,724.0
2026-03-11,10.53,10.53,10.53,10.53,130.0
2026-03-10,10.53,10.6501,10.53,10.65,3742.0
2026-03-09,10.53,10.53,10.53,10.53,59.0
2026-03-06,10.53,10.53,10.53,10.53,0.0
2026-03-05,10.53,10.53,10.53,10.53,0.0
2026-03-04,10.53,10.53,10.53,10.53,4.0
2026-03-03,10.53,10.53,10.53,10.53,104.0
2026-03-02,10.53,10.53,10.53,10.53,602.0
2026-02-27,10.6001,10.6001,10.6001,10.6001,1.0
2026-02-26,10.6001,10.6001,10.6001,10.6001,0.0
2026-02-25,10.6001,10.6001,10.6001,10.6001,0.0
2026-02-24,10.6001,10.6001,10.6001,10.6001,1.0
2026-02-23,10.6001,10.6001,10.6001,10.6001,1.0
2026-02-20,10.6001,10.6001,10.6001,10.6001,1.0
2026-02-19,10.6001,10.6001,10.6001,10.6001,2.0
2026-02-18,10.6001,10.6001,10.6001,10.6001,0.0
2026-02-17,10.6001,10.6001,10.6001,10.6001,1.0
2026-02-13,10.6,10.6001,10.59,10.6001,387.0
2026-02-12,10.67,10.67,10.67,10.67,0.0
2026-02-11,10.67,10.67,10.67,10.67,2.0
2026-02-10,10.67,10.67,10.67,10.67,0.0
2026-02-09,10.67,10.67,10.67,10.67,67.0
2026-02-06,10.67,10.67,10.67,10.67,0.0
2026-02-05,10.67,10.67,10.67,10.67,0.0
2026-02-04,10.67,10.67,10.67,10.67,0.0
2026-02-03,10.67,10.67,10.67,10.67,3.0
2026-02-02,10.67,10.67,10.67,10.67,2.0
2026-01-30,10.67,10.67,10.67,10.67,1.0
2026-01-29,10.67,10.67,10.67,10.67,0.0
2026-01-28,10.67,10.67,10.67,10.67,20.0
2026-01-27,10.67,10.67,10.67,10.67,982.0
2026-01-26,10.65,10.67,10.65,10.67,602.0
2026-01-23,10.58,10.58,10.58,10.58,0.0
2026-01-22,10.58,10.58,10.58,10.58,0.0
2026-01-21,10.58,10.58,10.58,10.58,4.0
2026-01-20,10.58,10.58,10.58,10.58,0.0
2026-01-16,10.58,10.58,10.58,10.58,0.0
2026-01-15,10.58,10.58,10.58,10.58,14.0
2026-01-14,10.58,10.58,10.58,10.58,0.0
2026-01-13,10.58,10.58,10.58,10.58,0.0
2026-01-12,10.58,10.58,10.58,10.58,2.0
2026-01-09,10.58,10.58,10.58,10.58,80.0
