date,1. open,2. high,3. low,4. close,5. volume
2026-06-03,0.45,0.45,0.45,0.45,0.0
2026-06-02,0.45,0.45,0.45,0.45,0.0
2026-06-01,0.45,0.45,0.45,0.45,7615.0
2026-05-29,0.45,0.45,0.39,0.45,3536.0
2026-05-28,0.42,0.42,0.41,0.42,16952.0
2026-05-27,0.364,0.4,0.364,0.4,140560.0
2026-05-26,0.372,0.372,0.372,0.372,0.0
2026-05-22,0.3501,0.372,0.35,0.372,1708.0
2026-05-21,0.35,0.351,0.35,0.351,2695.0
2026-05-20,0.34,0.34,0.34,0.34,0.0
2026-05-19,0.34,0.34,0.34,0.34,308.0
2026-05-18,0.3389,0.339,0.33,0.33,6150.0
2026-05-15,0.35,0.35,0.35,0.35,0.0
2026-05-14,0.35,0.35,0.35,0.35,0.0
2026-05-13,0.35,0.35,0.35,0.35,0.0
2026-05-12,0.35,0.35,0.3499,0.35,6700.0
2026-05-11,0.35,0.35,0.35,0.35,2489.0
2026-05-08,0.35,0.35,0.35,0.35,0.0
2026-05-07,0.35,0.35,0.35,0.35,0.0
2026-05-06,0.35,0.35,0.35,0.35,0.0
2026-05-05,0.35,0.35,0.35,0.35,114.0
2026-05-04,0.35,0.35,0.35,0.35,104.0
2026-05-01,0.35,0.35,0.35,0.35,129.0
2026-04-30,0.35,0.35,0.35,0.35,0.0
2026-04-29,0.325,0.35,0.325,0.35,4961.0
2026-04-28,0.3,0.3,0.3,0.3,0.0
2026-04-27,0.3,0.3,0.3,0.3,33333.0
2026-04-24,0.349,0.349,0.349,0.349,500.0
2026-04-23,0.33,0.35,0.33,0.35,2900.0
2026-04-22,0.35,0.35,0.35,0.35,0.0
2026-04-21,0.305,0.35,0.305,0.35,10000.0
2026-04-20,0.2999,0.2999,0.2999,0.2999,0.0
2026-04-17,0.241,0.3,0.232,0.2999,126566.0
2026-04-16,0.23,0.24,0.23,0.24,24101.0
2026-04-15,0.15,0.2,0.15,0.2,1508.0
