date,1. open,2. high,3. low,4. close,5. volume
2026-06-03,9.95,9.95,9.95,9.95,62228.0
2026-06-02,9.96,9.96,9.96,9.96,22.0
2026-06-01,9.97,9.97,9.95,9.96,4304.0
2026-05-29,9.94,9.96,9.94,9.96,7923.0
2026-05-28,9.94,9.95,9.94,9.95,5508.0
2026-05-27,9.94,9.94,9.93,9.93,1292.0
2026-05-26,9.95,9.95,9.95,9.95,12.0
2026-05-22,9.95,9.95,9.95,9.95,45.0
2026-05-21,9.95,9.95,9.95,9.95,62.0
2026-05-20,9.99,9.99,9.95,9.95,17241.0
2026-05-19,9.9201,9.9201,9.9201,9.9201,70.0
2026-05-18,9.9201,9.9201,9.9201,9.9201,310.0
2026-05-15,9.94,9.94,9.94,9.94,14044.0
2026-05-14,9.9375,9.9375,9.935,9.935,533.0
2026-05-13,9.93,9.93,9.93,9.93,206.0
2026-05-12,9.94,9.94,9.94,9.94,263.0
2026-05-11,9.9365,9.98,9.9365,9.95,907.0
2026-05-08,9.9,9.93,9.9,9.93,2011.0
2026-05-07,9.925,9.925,9.925,9.925,138.0
2026-05-06,9.925,9.925,9.925,9.925,8.0
2026-05-05,9.9227,9.925,9.9227,9.925,317.0
2026-05-04,9.98,9.98,9.92,9.92,4236.0
2026-05-01,9.9782,9.9782,9.93,9.93,201.0
2026-04-30,9.93,9.93,9.93,9.93,134.0
2026-04-29,9.91,9.91,9.91,9.91,8.0
2026-04-28,9.91,9.91,9.91,9.91,16823.0
2026-04-27,9.92,9.92,9.92,9.92,453.0
2026-04-24,9.93,9.93,9.93,9.93,120.0
2026-04-23,9.93,9.93,9.93,9.93,115515.0
2026-04-22,9.9,9.9,9.9,9.9,61878.0
2026-04-21,9.9,9.9,9.9,9.9,60053.0
2026-04-20,9.895,9.9,9.895,9.9,14809.0
2026-04-17,9.895,9.895,9.885,9.89,30071.0
2026-04-16,9.89,9.89,9.88,9.88,8111.0
2026-04-15,9.8999,9.8999,9.8999,9.8999,157.0
2026-04-14,9.88,9.88,9.88,9.88,5037.0
2026-04-13,9.86,9.88,9.86,9.88,230118.0
2026-04-10,9.87,9.87,9.87,9.87,1137.0
2026-04-09,9.88,9.88,9.86,9.87,308478.0
2026-04-08,9.88,9.88,9.8549,9.87,1962.0
2026-04-07,9.86,9.87,9.851,9.87,12102.0
2026-04-06,9.87,9.87,9.87,9.87,1015.0
