date,1. open,2. high,3. low,4. close,5. volume
2026-06-03,1.04,1.0987,1.01,1.09,5985.0
2026-06-02,1.14,1.14,1.04,1.065,16095.0
2026-06-01,1.12,1.17,1.09,1.17,21867.0
2026-05-29,1.1,1.24,1.1,1.18,20833.0
2026-05-28,1.1522,1.17,1.12,1.135,7695.0
2026-05-27,1.17,1.2059,1.15,1.17,15412.0
2026-05-26,1.17,1.2,1.15,1.19,46126.0
2026-05-22,1.15,1.23,1.148,1.2,15287.0
2026-05-21,1.1301,1.24,1.1022,1.15,9544.0
2026-05-20,1.205,1.26,1.14,1.17,7178.0
2026-05-19,1.19,1.19,1.1201,1.15,1784.0
2026-05-18,1.18,1.18,1.1,1.17,11353.0
2026-05-15,1.16,1.23,1.13,1.19,4688.0
2026-05-14,1.19,1.2,1.14,1.1899,5634.0
2026-05-13,1.17,1.2,1.12,1.19,8796.0
2026-05-12,1.1847,1.2213,1.1518,1.2213,10280.0
2026-05-11,1.22,1.235,1.14,1.14,29474.0
2026-05-08,1.1801,1.22,1.17,1.17,4589.0
2026-05-07,1.16,1.25,1.1467,1.19,10724.0
2026-05-06,1.12,1.25,1.07,1.19,44938.0
2026-05-05,1.05,1.1399,1.0418,1.125,7204.0
2026-05-04,1.1,1.105,1.05,1.105,4580.0
2026-05-01,1.145,1.1811,1.145,1.17,4012.0
2026-04-30,1.13,1.248,1.1001,1.18,9593.0
2026-04-29,1.2202,1.28,1.15,1.23,10562.0
2026-04-28,1.21,1.32,1.17,1.21,6798.0
2026-04-27,1.19,1.32,1.18,1.2,16364.0
2026-04-24,1.1201,1.48,1.1201,1.29,103418.0
2026-04-23,1.18,1.3,1.13,1.15,59356.0
2026-04-22,1.048,1.15,1.048,1.1301,16339.0
2026-04-21,1.05,1.07,1.03,1.04,3729.0
2026-04-20,1.0364,1.08,0.9689,1.08,18370.0
2026-04-17,1.0201,1.0398,0.965,1.01,9650.0
2026-04-16,1.0022,1.03,1.0022,1.03,2172.0
2026-04-15,0.93,1.02,0.93,1.0,15853.0
2026-04-14,0.94,1.002,0.9301,0.95,7421.0
2026-04-13,0.98,1.04,0.9698,1.01,4043.0
2026-04-10,0.97,1.04,0.94,1.04,1009.0
2026-04-09,0.99,1.04,0.93,0.9753,3553.0
2026-04-08,0.95,1.02,0.95,1.01,11936.0
2026-04-07,0.94,0.985,0.94,0.985,1428.0
2026-04-06,0.91,0.98,0.91,0.9602,5060.0
2026-04-02,0.893,0.97,0.893,0.969,2018.0
2026-04-01,0.844,0.9638,0.844,0.92,12194.0
2026-03-31,0.87,0.949,0.8208,0.8902,7987.0
2026-03-30,1.0,1.01,0.8659,0.871,12695.0
2026-03-27,1.01,1.02,0.9902,1.01,5930.0
2026-03-26,0.9727,1.02,0.9727,1.01,5687.0
2026-03-25,0.963,1.02,0.963,1.01,5047.0
2026-03-24,0.96,1.02,0.9503,1.01,14271.0
2026-03-23,0.98,1.03,0.92,0.9724,14094.0
2026-03-20,0.9816,1.08,0.97,1.03,107355.0
2026-03-19,0.96,0.99,0.96,0.9785,975.0
2026-03-18,0.96,0.9999,0.96,0.9999,3032.0
2026-03-17,0.9203,0.9973,0.9203,0.9973,842.0
2026-03-16,0.97,1.0125,0.97,1.0,16365.0
2026-03-13,0.97,1.06,0.97,0.99,10115.0
2026-03-12,0.9759,0.976,0.9492,0.975,6750.0
2026-03-11,0.9705,0.9707,0.9705,0.9707,809.0
2026-03-10,0.95,0.965,0.95,0.9573,844.0
2026-03-09,0.91,0.9725,0.91,0.95,10291.0
2026-03-06,1.03,1.07,0.95,0.9682,7401.0
2026-03-05,1.0137,1.0322,1.0137,1.02,4611.0
2026-03-04,1.01,1.01,1.0021,1.0021,2166.0
2026-03-03,1.0,1.075,0.99,1.02,10681.0
