date,1. open,2. high,3. low,4. close,5. volume
2026-06-03,10.19,10.98,10.02,10.02,2615.0
2026-06-02,10.1,10.1,10.03,10.1,1691.0
2026-06-01,10.72,11.23,10.03,10.03,2198.0
2026-05-29,9.99,10.0,9.99,10.0,300.0
2026-05-28,10.01,10.01,10.01,10.01,24540.0
2026-05-27,10.01,10.01,10.0,10.01,59200.0
2026-05-26,10.01,10.01,9.99,10.0,9001.0
2026-05-22,10.0,10.01,9.99,9.99,5800.0
2026-05-21,10.04,10.04,10.04,10.04,2.0
2026-05-20,10.04,10.04,10.04,10.04,0.0
2026-05-19,10.04,10.04,10.04,10.04,1.0
2026-05-18,10.04,10.04,10.04,10.04,130.0
2026-05-15,9.96,9.96,9.96,9.96,60.0
2026-05-14,9.96,9.96,9.96,9.96,0.0
2026-05-13,9.96,9.96,9.96,9.96,483.0
2026-05-12,9.96,9.96,9.96,9.96,600.0
2026-05-11,9.975,9.975,9.975,9.975,1.0
2026-05-08,9.975,9.975,9.975,9.975,132.0
2026-05-07,9.975,9.975,9.975,9.975,0.0
2026-05-06,9.975,9.975,9.975,9.975,0.0
2026-05-05,9.975,9.975,9.975,9.975,0.0
2026-05-04,9.975,9.975,9.975,9.975,0.0
2026-05-01,9.975,9.975,9.975,9.975,10.0
2026-04-30,9.975,9.975,9.975,9.975,0.0
2026-04-29,9.975,9.975,9.975,9.975,3343.0
2026-04-28,9.97,9.97,9.97,9.97,0.0
2026-04-27,9.97,9.97,9.97,9.97,23.0
2026-04-24,9.97,9.97,9.97,9.97,34.0
2026-04-23,9.97,9.97,9.97,9.97,2.0
2026-04-22,9.97,9.97,9.97,9.97,37.0
2026-04-21,9.97,9.97,9.97,9.97,58.0
2026-04-20,9.97,9.97,9.97,9.97,129.0
2026-04-17,9.95,9.97,9.95,9.97,326.0
2026-04-16,9.95,9.97,9.95,9.95,1188.0
2026-04-15,9.95,9.95,9.95,9.95,361.0
2026-04-14,9.96,9.96,9.96,9.96,44275.0
2026-04-13,9.9589,9.9623,9.94,9.96,26547.0
2026-04-10,9.92,9.92,9.92,9.92,0.0
2026-04-09,9.92,9.92,9.92,9.92,107.0
2026-04-08,9.95,9.95,9.95,9.95,10511.0
2026-04-07,9.94,9.94,9.94,9.94,538.0
2026-04-06,9.94,9.95,9.94,9.95,3199.0
2026-04-02,9.95,9.95,9.95,9.95,2090.0
2026-04-01,9.94,9.97,9.94,9.97,8910.0
2026-03-31,9.94,9.94,9.94,9.94,100.0
2026-03-30,9.94,9.94,9.94,9.94,8800.0
2026-03-27,9.97,9.97,9.97,9.97,752.0
2026-03-26,9.97,9.97,9.97,9.97,5253.0
2026-03-25,9.94,9.94,9.94,9.94,164.0
2026-03-24,9.94,9.94,9.94,9.94,212.0
2026-03-23,9.945,9.95,9.945,9.95,1931.0
2026-03-20,9.94,9.94,9.93,9.94,1692.0
2026-03-19,9.94,9.94,9.94,9.94,470.0
2026-03-18,9.94,9.94,9.94,9.94,393.0
2026-03-17,9.93,9.94,9.93,9.94,758.0
2026-03-16,9.94,9.94,9.94,9.94,236.0
2026-03-13,9.93,9.94,9.93,9.94,16016.0
2026-03-12,9.93,9.94,9.93,9.94,819.0
2026-03-11,9.94,9.945,9.93,9.94,192762.0
2026-03-10,9.94,9.94,9.94,9.94,200874.0
2026-03-09,9.945,9.945,9.945,9.945,303.0
2026-03-06,9.95,9.95,9.94,9.945,12467.0
2026-03-05,9.95,9.96,9.94,9.945,62825.0
2026-03-04,9.95,9.95,9.95,9.95,50239.0
2026-03-03,9.98,9.98,9.95,9.97,13970.0
2026-03-02,9.94,10.0,9.94,9.9529,5425.0
2026-02-27,9.94,9.94,9.94,9.94,1247.0
2026-02-26,9.94,9.97,9.94,9.95,3445.0
2026-02-25,9.96,9.96,9.94,9.95,87130.0
2026-02-24,9.98,9.99,9.93,9.94,340274.0
2026-02-23,9.97,10.01,9.96,9.96,227417.0
2026-02-20,9.975,9.98,9.96,9.96,1002653.0
2026-02-19,9.99,9.99,9.97,9.97,3248541.0
